id,url,name,w,h,source,deployment,campaign,latitude,longitude,depth,altitude,time,flagged,count,Evechinus,Centrostephanus,boxes
8473312,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1915.JPG,GOPR1915.JPG,0,0,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692955,174.973484,5.7,1.0,2021-03-25 13:07:35,False,1,True,False,"[('Evechinus chloroticus', 1.0, 0.5491686461940231, 0.5300632911392406, 0.0332541567695962, 0.047468354430379923, False, '8697133')]"
8473468,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202104_Nordic/202104_Nordic_1/images/GOPR9916.JPG,GOPR9916.JPG,0,0,UoA Sea Urchin,202104_Nordic_1,202104_Nordic,-36.291505,174.809957,1.5,1.0,2021-04-13 12:32:21,False,2,True,False,"[('Evechinus chloroticus', 1.0, 0.6619469026548672, 0.16863207547169812, 0.05309734513274336, 0.0660377358490566, False, '8697169'), ('Evechinus chloroticus', 1.0, 0.7407079646017699, 0.4080188679245283, 0.03185840707964602, 0.03773584905660377, False, '8697174')]"
8473304,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1907.JPG,GOPR1907.JPG,0,0,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692423,174.973878,5.9,1.0,2021-03-25 12:57:07,False,1,True,False,"[('Evechinus chloroticus', 1.0, 0.8187648457189637, 0.6455696202531646, 0.06413301662707839, 0.09177215189873418, False, '8697106')]"
8473302,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1905.JPG,GOPR1905.JPG,0,0,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.69257,174.973802,5.1,1.0,2021-03-25 12:55:03,False,1,True,False,"[('Evechinus chloroticus', 1.0, 0.31045130652656466, 0.7389240506329114, 0.035629453681710214, 0.04430379746835461, False, '8697165')]"
8476339,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202309_Tuhua_Island/202309_Baitpond/images/GOPR0846.JPG,GOPR0846.JPG,0,0,UoA Sea Urchin,202309_Baitpond,202309_Tuhua_Island,-37.272114,176.2381,10.3,1.0,2023-09-20 10:49:54,True,9,True,True,"[('Evechinus chloroticus', 1.0, 0.4684085511821466, 0.6566455696202531, 0.0831353919239905, 0.07594936708860778, False, '8705197'), ('Evechinus chloroticus', 1.0, 0.7403800476192012, 0.46677215189873417, 0.07600950118764846, 0.0981012658227848, False, '8705194'), ('Centrostephanus rodgersii', 1.0, 0.5368888888888889, 0.509478672985782, 0.144, 0.17535545023696683, False, '8945305'), ('Centrostephanus rodgersii', 1.0, 0.7511111111111111, 0.11611374407582939, 0.051555555555555556, 0.045023696682464455, True, '8945309'), ('Centrostephanus rodgersii', 1.0, 0.2613333333333333, 0.3424170616113744, 0.11911111111111121, 0.13270142180094788, False, '8945306'), ('Centrostephanus rodgersii', 1.0, 0.16, 0.28554502369668244, 0.08, 0.08293838862559248, False, '8945307'), ('Centrostephanus rodgersii', 1.0, 0.7271111111111112, 0.02843601895734597, 0.09777777777777778, 0.0924170616113744, False, '8945310'), ('Centrostephanus rodgersii', 1.0, 0.7582222222222222, 0.18009478672985782, 0.07466666666666667, 0.08056872037914692, False, '8945308'), ('Centrostephanus rodgersii', 1.0, 0.9626666666666667, 0.6445497630331753, 0.07288888888888889, 0.08530805687203792, False, '8945311')]"
8473296,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1899.JPG,GOPR1899.JPG,0,0,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692848,174.973838,4.5,1.0,2021-03-25 12:51:34,False,1,True,False,"[('Evechinus chloroticus', 1.0, 0.5756302521008403, 0.3376865671641791, 0.03921568627450996, 0.08582089552238806, False, '8705810')]"
8473295,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1898.JPG,GOPR1898.JPG,0,0,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692967,174.973749,3.3,1.0,2021-03-25 12:50:14,False,1,True,False,"[('Evechinus chloroticus', 0.4, 0.8277310924369747, 0.45149253731343286, 0.05322128851540616, 0.07835820895522388, False, '8705842')]"
8474771,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_1/images/GOPR4240.JPG,GOPR4240.JPG,0,0,UoA Sea Urchin,202210_Nordic_1,202210_Nordic,-36.293518,174.810007,5.1,1.0,2022-10-19 13:15:52,False,14,True,False,"[('Evechinus chloroticus', 1.0, 0.5515439431061371, 0.47943037974683544, 0.05938242280285035, 0.0759493670886076, False, '8725416'), ('Evechinus chloroticus', 1.0, 0.8377672210158759, 0.7768987341772152, 0.052256532066508314, 0.060126582278481014, False, '8725417'), ('Evechinus chloroticus', 1.0, 0.6192399051013865, 0.7974683544303798, 0.06413301662707839, 0.07278481012658228, False, '8725418'), ('Evechinus chloroticus', 1.0, 0.25819477446005634, 0.30854430379746833, 0.0688836104513064, 0.0759493670886076, False, '8725419'), ('Evechinus chloroticus', 1.0, 0.19168646092086394, 0.6439873417721519, 0.0665083135391924, 0.08860759493670886, False, '8725420'), ('Evechinus chloroticus', 1.0, 0.04441805236979505, 0.7357594936708861, 0.07125890736342043, 0.0759493670886076, False, '8725421'), ('Evechinus chloroticus', 1.0, 0.12399049892561452, 0.1550632911392405, 0.06175771971496437, 0.07911392405063292, False, '8725422'), ('Evechinus chloroticus', 1.0, 0.543230403913738, 0.0015822784810126582, 0.06413301662707825, 0.06645569620253164, False, '8725423'), ('Evechinus chloroticus', 1.0, 0.9755344419184886, 0.189873417721519, 0.0665083135391924, 0.08860759493670886, False, '8725424'), ('Evechinus chloroticus', 1.0, 0.03372921626528198, 0.819620253164557, 0.08788598574821853, 0.07911392405063292, False, '8725425'), ('Evechinus chloroticus', 1.0, 0.030166270897110964, 0.9113924050632911, 0.07600950118764846, 0.0981012658227848, False, '8725426'), ('Evechinus chloroticus', 1.0, 0.22969121151468816, 0.015822784810126583, 0.057007125890736345, 0.0759493670886076, False, '8725427'), ('Evechinus chloroticus', 1.0, 0.0705463184030492, 0.03639240506329114, 0.06175771971496439, 0.04746835443037975, False, '8725428'), ('Evechinus chloroticus', 1.0, 0.5705463184030493, 0.7911392405063291, 0.04988123515439417, 0.060126582278481014, False, '8725429')]"
8474772,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_1/images/GOPR4241.JPG,GOPR4241.JPG,0,0,UoA Sea Urchin,202210_Nordic_1,202210_Nordic,-36.29355,174.810072,5.4,1.0,2022-10-19 13:16:20,False,3,True,True,"[('Centrostephanus rodgersii', 1.0, 0.6513064134149257, 0.31962025316455694, 0.09026128266033254, 0.11708860759493671, False, '8725481'), ('Evechinus chloroticus', 1.0, 0.01116389560019885, 0.8370253164556962, 0.1330166270783848, 0.12025316455696203, False, '8725482'), ('Evechinus chloroticus', 1.0, 0.02660332552893994, 0.9889240506329114, 0.17814726840855108, 0.08227848101265822, False, '8725483')]"
8474773,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_1/images/GOPR4242.JPG,GOPR4242.JPG,0,0,UoA Sea Urchin,202210_Nordic_1,202210_Nordic,-36.293593,174.810112,6.6,1.0,2022-10-19 13:16:47,False,3,True,False,"[('Evechinus chloroticus', 1.0, 0.715439430042004, 0.8813291139240507, 0.0665083135391924, 0.08227848101265822, False, '8725485'), ('Evechinus chloroticus', 1.0, 0.5978622328923604, 0.39556962025316456, 0.0688836104513064, 0.0949367088607595, False, '8725486'), ('Evechinus chloroticus', 1.0, 0.43396674595649337, 0.34335443037974683, 0.03800475059382423, 0.04430379746835443, False, '8725487')]"
