               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087571,            0.068336,            0.015265,             0.17805,             0.33103,             0.20019,            0.083766,            0.064384,            0.041178,            0.014478,            0.070049,           0.0033279,           0.0033279
                   1,            0.063937,            0.057048,            0.010513,              0.6123,             0.48939,             0.48295,             0.19036,            0.057031,            0.034926,           0.0052514,            0.040009,           0.0066213,           0.0066213
                   2,            0.061184,            0.055863,           0.0061332,              0.7024,             0.48603,             0.52168,             0.20732,            0.055313,            0.039512,           0.0044043,            0.009929,           0.0098746,           0.0098746
                   3,            0.057907,            0.055087,           0.0053695,             0.74237,             0.60276,             0.63111,             0.27099,             0.05036,             0.03344,           0.0026322,             0.00982,             0.00982,             0.00982
                   4,            0.056097,            0.054392,           0.0049601,             0.61406,             0.35035,             0.37958,              0.1471,            0.055361,            0.043804,           0.0075243,             0.00982,             0.00982,             0.00982
                   5,            0.054597,            0.053465,           0.0045043,             0.82167,             0.68709,             0.74284,             0.32029,            0.046202,            0.032167,           0.0021102,             0.00976,             0.00976,             0.00976
                   6,            0.053496,            0.054541,            0.003947,             0.80484,             0.71053,             0.75017,             0.32273,            0.045577,            0.031875,           0.0013891,              0.0097,              0.0097,              0.0097
                   7,            0.052494,            0.050203,           0.0035689,             0.79673,             0.67412,             0.73727,             0.32009,            0.045729,            0.032484,           0.0020406,             0.00964,             0.00964,             0.00964
                   8,            0.052135,            0.052403,            0.003698,              0.8131,             0.70733,             0.75441,             0.30646,             0.04694,            0.030511,           0.0014938,             0.00958,             0.00958,             0.00958
                   9,             0.05179,            0.051317,           0.0034522,              0.8321,              0.7037,             0.77444,             0.34215,            0.044668,            0.031534,           0.0018565,             0.00952,             0.00952,             0.00952
                  10,             0.05112,             0.05002,           0.0031063,             0.81193,             0.71005,             0.76616,             0.32245,            0.045781,            0.030543,           0.0015689,             0.00946,             0.00946,             0.00946
                  11,            0.051024,            0.049942,           0.0031021,             0.79657,             0.69838,             0.75194,             0.31519,            0.045603,            0.031845,           0.0020274,              0.0094,              0.0094,              0.0094
                  12,            0.050007,            0.048826,           0.0029475,             0.81172,             0.73431,             0.77509,             0.33259,            0.045257,            0.030584,           0.0010464,             0.00934,             0.00934,             0.00934
                  13,            0.049708,            0.048166,           0.0028074,             0.80959,              0.7271,              0.7648,             0.32706,            0.046027,              0.0307,           0.0015942,             0.00928,             0.00928,             0.00928
