               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077887,            0.043019,            0.021005,             0.48215,             0.47913,             0.42958,             0.16019,            0.055134,             0.02662,            0.011944,            0.070034,           0.0033295,           0.0033295
                   1,            0.055489,             0.03083,           0.0064941,              0.7565,             0.64716,             0.68869,             0.26864,             0.04754,            0.021798,           0.0043425,            0.040005,           0.0066329,           0.0066329
                   2,            0.052499,            0.030797,           0.0051136,             0.80149,             0.62979,             0.69512,             0.30464,            0.047875,            0.023381,           0.0037696,           0.0099445,           0.0099062,           0.0099062
                   3,            0.049634,            0.029567,           0.0045088,             0.83058,             0.72269,             0.79628,             0.36386,            0.042745,            0.020918,           0.0035925,            0.009865,            0.009865,            0.009865
                   4,            0.047102,            0.028493,           0.0035889,             0.85276,             0.76567,             0.83576,             0.40463,            0.041079,            0.019433,           0.0030281,            0.009865,            0.009865,            0.009865
                   5,            0.045665,            0.027828,           0.0029341,             0.85775,             0.76288,              0.8376,             0.38717,            0.041433,            0.019601,           0.0031889,             0.00982,             0.00982,             0.00982
                   6,            0.044733,            0.027164,           0.0028573,             0.84204,             0.79338,             0.85072,             0.40032,            0.041263,            0.019146,           0.0039645,            0.009775,            0.009775,            0.009775
                   7,            0.043835,            0.027393,           0.0024345,             0.84979,             0.80212,             0.85498,             0.40964,            0.040232,            0.019051,           0.0020355,             0.00973,             0.00973,             0.00973
                   8,            0.043349,            0.025359,           0.0018241,             0.85123,             0.73767,             0.80561,             0.36662,            0.041512,             0.02006,           0.0027858,            0.009685,            0.009685,            0.009685
                   9,            0.043032,            0.025816,           0.0019888,             0.84793,             0.79063,             0.85003,             0.38494,            0.041386,            0.018871,           0.0033263,             0.00964,             0.00964,             0.00964
                  10,            0.042722,            0.025085,           0.0018699,              0.8473,              0.8093,             0.86043,              0.4054,            0.040891,            0.018635,           0.0014743,            0.009595,            0.009595,            0.009595
                  11,            0.042776,            0.026182,           0.0020928,              0.8474,             0.80073,               0.847,             0.38184,            0.041268,             0.01867,           0.0029275,             0.00955,             0.00955,             0.00955
                  12,             0.04272,            0.025535,           0.0018327,             0.85994,              0.7884,             0.85539,             0.40618,            0.040845,            0.018524,           0.0021214,            0.009505,            0.009505,            0.009505
                  13,            0.042251,            0.024759,           0.0015933,             0.86523,             0.79618,             0.85516,             0.39653,            0.041005,            0.018618,           0.0022108,             0.00946,             0.00946,             0.00946
                  14,            0.041664,            0.024863,           0.0014961,             0.84995,             0.73808,             0.81717,             0.37645,            0.040891,            0.020779,            0.002743,            0.009415,            0.009415,            0.009415
                  15,            0.041624,            0.024942,           0.0013899,             0.85984,             0.83148,             0.87357,             0.40958,            0.040041,            0.018193,           0.0018635,             0.00937,             0.00937,             0.00937
                  16,             0.04145,            0.024705,           0.0015862,             0.84691,              0.8091,             0.84884,              0.3942,            0.041214,            0.018602,           0.0020914,            0.009325,            0.009325,            0.009325
                  17,            0.041635,            0.025216,           0.0015688,             0.85086,             0.80955,             0.85994,             0.38054,            0.040957,            0.018244,           0.0022484,             0.00928,             0.00928,             0.00928
                  18,             0.04141,            0.025186,           0.0013056,             0.86236,             0.82758,             0.87696,             0.41241,            0.040345,            0.018096,           0.0016169,            0.009235,            0.009235,            0.009235
                  19,            0.041276,            0.024795,           0.0015121,             0.85667,             0.83713,             0.88125,             0.43256,            0.039298,            0.018155,           0.0018282,             0.00919,             0.00919,             0.00919
                  20,            0.041267,            0.024834,           0.0012255,             0.86031,             0.83835,              0.8817,             0.43327,            0.038871,            0.018189,           0.0018421,            0.009145,            0.009145,            0.009145
                  21,            0.041093,            0.024465,            0.001325,             0.85894,             0.82312,             0.87447,             0.41541,            0.039536,             0.01842,           0.0021702,              0.0091,              0.0091,              0.0091
                  22,            0.041226,            0.023807,           0.0012452,             0.86448,             0.82803,             0.87695,             0.42699,              0.0393,            0.018227,            0.002405,            0.009055,            0.009055,            0.009055
                  23,             0.04098,            0.024167,           0.0011436,             0.88341,             0.82114,             0.88292,             0.40735,            0.041258,            0.018092,           0.0021294,             0.00901,             0.00901,             0.00901
                  24,            0.040595,            0.025088,           0.0016124,             0.88523,             0.81152,             0.87763,             0.41263,            0.039955,            0.018167,           0.0017362,            0.008965,            0.008965,            0.008965
                  25,            0.041006,            0.025232,           0.0013412,             0.86872,             0.82754,             0.87796,             0.40764,            0.040137,             0.01813,           0.0022571,             0.00892,             0.00892,             0.00892
                  26,            0.040678,            0.024298,           0.0013797,             0.87204,             0.82199,             0.88164,             0.42599,            0.039721,            0.018136,           0.0021977,            0.008875,            0.008875,            0.008875
                  27,            0.040727,            0.024672,          0.00098514,             0.87374,             0.83372,             0.89075,             0.44346,            0.038967,            0.017945,           0.0021934,             0.00883,             0.00883,             0.00883
                  28,            0.040192,            0.024224,           0.0011575,             0.86423,             0.82932,             0.88193,             0.42469,            0.039601,            0.018332,           0.0019481,            0.008785,            0.008785,            0.008785
                  29,            0.040601,            0.024389,           0.0012371,             0.85566,              0.8448,             0.88518,             0.44956,            0.038904,            0.017845,           0.0022801,             0.00874,             0.00874,             0.00874
                  30,            0.040034,            0.024228,           0.0010561,             0.86572,             0.83417,             0.88746,             0.43651,            0.039247,            0.017946,           0.0016302,            0.008695,            0.008695,            0.008695
                  31,            0.040051,            0.024129,            0.001172,             0.86058,              0.8227,              0.8755,             0.42445,             0.03987,            0.018081,           0.0014212,             0.00865,             0.00865,             0.00865
                  32,            0.040395,            0.024092,           0.0010487,             0.86319,             0.84375,             0.88899,             0.44139,            0.038768,            0.017814,           0.0018994,            0.008605,            0.008605,            0.008605
                  33,            0.040174,            0.023863,           0.0010976,             0.86388,             0.83005,             0.88037,             0.43274,            0.038881,            0.018078,           0.0019015,             0.00856,             0.00856,             0.00856
                  34,            0.040125,            0.024244,           0.0013583,             0.86877,             0.81894,             0.87203,             0.42498,            0.039585,            0.018095,           0.0025107,            0.008515,            0.008515,            0.008515
                  31,            0.040084,            0.023936,            0.001092,             0.88046,             0.83653,             0.89433,             0.45332,            0.038191,            0.017762,           0.0021039,             0.00865,             0.00865,             0.00865
                  32,            0.039826,            0.023647,           0.0010306,              0.8632,             0.85392,             0.89544,             0.44638,            0.038419,            0.017847,            0.001596,            0.008605,            0.008605,            0.008605
                  33,            0.040122,            0.024608,           0.0012209,             0.86604,              0.8243,             0.87927,             0.43038,            0.039842,            0.017913,           0.0018759,             0.00856,             0.00856,             0.00856
                  34,            0.040156,            0.024021,            0.001071,             0.85483,             0.84965,              0.8863,             0.43342,            0.039105,            0.017821,           0.0022441,            0.008515,            0.008515,            0.008515
                  35,            0.039575,            0.024079,            0.001142,             0.86677,             0.84013,              0.8863,             0.43786,            0.038857,            0.018007,           0.0019094,             0.00847,             0.00847,             0.00847
                  36,            0.039862,            0.024123,          0.00091999,             0.86199,              0.8535,             0.89155,             0.43515,            0.039536,            0.017663,           0.0019278,            0.008425,            0.008425,            0.008425
                  37,            0.039541,            0.024013,          0.00098443,             0.87307,             0.85139,             0.89539,             0.44617,             0.03865,            0.017829,           0.0017714,             0.00838,             0.00838,             0.00838
                  38,            0.039669,            0.024858,           0.0012083,              0.8722,             0.82745,               0.889,             0.43612,            0.039341,            0.017794,           0.0020395,            0.008335,            0.008335,            0.008335
                  39,            0.039495,            0.023147,            0.000773,             0.86375,             0.84634,             0.88819,             0.44726,            0.038582,            0.017768,           0.0021461,             0.00829,             0.00829,             0.00829
                  40,            0.039682,            0.023753,           0.0010389,             0.85949,             0.83536,             0.88008,             0.44249,            0.038851,            0.017841,           0.0015343,            0.008245,            0.008245,            0.008245
                  41,            0.039547,            0.023231,          0.00089435,             0.86465,             0.84592,             0.89098,             0.43851,            0.038702,            0.017734,           0.0018084,              0.0082,              0.0082,              0.0082
                  42,            0.039322,            0.024003,          0.00091896,             0.87226,             0.84268,             0.88996,             0.43786,            0.038857,            0.017897,           0.0018081,            0.008155,            0.008155,            0.008155
                  43,            0.039337,            0.023546,          0.00096838,             0.86702,             0.85837,             0.89752,             0.45725,            0.038451,            0.017727,           0.0019595,             0.00811,             0.00811,             0.00811
                  44,            0.039498,            0.023139,          0.00089104,             0.87592,             0.83961,             0.89356,             0.44478,             0.03903,            0.017614,           0.0017923,            0.008065,            0.008065,            0.008065
                  45,             0.03864,            0.023333,          0.00074291,             0.87316,             0.84136,             0.89373,              0.4529,              0.0382,            0.017541,           0.0018575,             0.00802,             0.00802,             0.00802
                  46,            0.038902,             0.02349,          0.00075718,             0.87092,             0.85649,             0.89803,             0.45742,            0.038043,            0.017673,           0.0020722,            0.007975,            0.007975,            0.007975
                  47,            0.038894,            0.023123,          0.00073056,             0.86584,             0.84129,             0.88881,             0.44151,            0.039082,            0.017656,           0.0017946,             0.00793,             0.00793,             0.00793
                  48,            0.039217,            0.023588,          0.00078409,             0.87518,             0.85015,             0.89768,             0.45656,            0.038397,            0.017707,            0.001724,            0.007885,            0.007885,            0.007885
                  49,            0.038875,             0.02376,          0.00070539,             0.87066,              0.8582,             0.90165,             0.45319,            0.038334,             0.01763,           0.0018027,             0.00784,             0.00784,             0.00784
                  50,            0.038769,            0.023423,          0.00090363,             0.86861,             0.85559,             0.89547,             0.44506,            0.038905,            0.017734,           0.0015571,            0.007795,            0.007795,            0.007795
                  51,            0.039064,            0.023569,           0.0007969,             0.87348,              0.8466,              0.8932,             0.45407,             0.03803,            0.017756,           0.0013555,             0.00775,             0.00775,             0.00775
                  52,            0.038856,            0.023162,          0.00085004,              0.8719,             0.83994,             0.88983,             0.44543,            0.038517,            0.017723,           0.0019389,            0.007705,            0.007705,            0.007705
                  53,            0.039006,            0.022716,          0.00074946,             0.87796,             0.84635,             0.89061,             0.45338,            0.038114,            0.017616,             0.00175,             0.00766,             0.00766,             0.00766
                  54,            0.039036,            0.023235,          0.00081386,             0.87122,             0.84845,             0.89586,             0.45484,            0.038411,            0.017663,           0.0017736,            0.007615,            0.007615,            0.007615
                  55,            0.038403,            0.023851,          0.00086502,               0.866,             0.85602,             0.89729,             0.44738,            0.038626,            0.017586,            0.001444,             0.00757,             0.00757,             0.00757
                  56,            0.039022,            0.024078,          0.00084226,             0.86335,              0.8525,              0.8931,             0.44741,            0.038774,            0.017721,           0.0018751,            0.007525,            0.007525,            0.007525
                  57,            0.038441,            0.023186,          0.00096268,             0.86578,             0.85369,             0.89634,             0.45799,            0.038336,             0.01768,           0.0020177,             0.00748,             0.00748,             0.00748
                  58,             0.03872,            0.023559,          0.00065576,             0.88168,             0.85198,             0.90169,             0.46673,            0.037884,             0.01765,           0.0017477,            0.007435,            0.007435,            0.007435
                  59,            0.038267,            0.023114,           0.0007358,              0.8733,             0.84549,             0.89702,             0.44549,            0.038851,            0.017696,           0.0014538,             0.00739,             0.00739,             0.00739
                  60,            0.038517,            0.023327,          0.00086303,             0.87394,             0.85012,             0.89737,             0.46436,            0.037918,            0.017474,           0.0018181,            0.007345,            0.007345,            0.007345
                  61,            0.038187,            0.023174,          0.00061122,             0.87983,             0.84127,             0.89865,             0.46523,            0.038133,             0.01757,           0.0017638,              0.0073,              0.0073,              0.0073
                  61,            0.038092,            0.022944,          0.00071036,             0.88261,             0.84836,             0.90249,             0.46706,            0.037936,            0.017387,           0.0016961,              0.0073,              0.0073,              0.0073
                  62,             0.03818,            0.022743,          0.00072587,             0.86959,             0.85695,             0.90034,             0.46851,            0.037627,            0.017503,           0.0017251,            0.007255,            0.007255,            0.007255
                  63,            0.038281,            0.023526,           0.0006921,             0.87521,             0.86055,             0.90014,              0.4555,            0.038209,            0.017552,           0.0016379,             0.00721,             0.00721,             0.00721
                  64,            0.038138,            0.022912,          0.00063821,             0.87219,             0.85704,             0.90116,             0.45789,            0.037919,            0.017546,           0.0016609,            0.007165,            0.007165,            0.007165
                  65,            0.037976,            0.023087,          0.00077988,              0.8742,             0.85462,             0.89692,             0.45462,            0.038289,            0.017588,           0.0016398,             0.00712,             0.00712,             0.00712
                  66,            0.038188,            0.023376,          0.00072631,             0.87229,             0.85828,             0.90185,             0.46291,            0.038084,            0.017442,           0.0018818,            0.007075,            0.007075,            0.007075
                  67,             0.03772,            0.023071,           0.0007002,             0.87601,             0.85517,              0.9016,             0.46721,            0.037831,            0.017557,           0.0018472,             0.00703,             0.00703,             0.00703
                  68,            0.038162,            0.023727,          0.00080606,             0.87271,             0.86166,             0.90246,             0.46399,            0.037626,            0.017498,           0.0017552,            0.006985,            0.006985,            0.006985
                  69,            0.037785,            0.022267,          0.00063441,             0.88068,             0.86328,              0.9063,             0.46802,            0.037823,            0.017387,            0.001828,             0.00694,             0.00694,             0.00694
                  70,            0.037898,            0.022931,          0.00070367,             0.88457,             0.84831,              0.9001,             0.46088,             0.03814,            0.017496,           0.0018874,            0.006895,            0.006895,            0.006895
                  71,            0.037977,            0.022625,          0.00074662,              0.8696,             0.85402,             0.89836,             0.46089,            0.037572,            0.017577,            0.002132,             0.00685,             0.00685,             0.00685
                  72,            0.037717,            0.023173,          0.00063118,             0.87012,             0.86377,             0.90433,             0.46663,            0.037636,            0.017503,           0.0018486,            0.006805,            0.006805,            0.006805
                  73,            0.037734,            0.022696,          0.00063718,             0.88178,             0.85284,             0.90337,             0.46968,            0.037605,            0.017495,           0.0017347,             0.00676,             0.00676,             0.00676
                  74,            0.037877,            0.022304,          0.00061843,             0.87888,             0.85287,             0.90215,              0.4668,            0.037855,            0.017488,           0.0016177,            0.006715,            0.006715,            0.006715
                  75,            0.037105,            0.022577,          0.00059012,             0.87093,             0.86576,              0.9039,             0.46342,            0.037787,            0.017495,            0.001838,             0.00667,             0.00667,             0.00667
                  76,              0.0373,            0.022645,          0.00056704,             0.86391,              0.8671,             0.90148,             0.46127,             0.03812,            0.017485,           0.0015933,            0.006625,            0.006625,            0.006625
                  77,              0.0374,            0.022533,          0.00059716,             0.87587,             0.85425,             0.89956,             0.45897,            0.038138,            0.017479,            0.002185,             0.00658,             0.00658,             0.00658
                  78,            0.037631,            0.022913,          0.00064458,             0.87477,             0.86501,             0.90857,              0.4733,            0.037247,            0.017466,           0.0015276,            0.006535,            0.006535,            0.006535
                  79,            0.037437,            0.023093,          0.00059302,             0.87854,             0.86421,             0.90798,             0.46926,             0.03768,            0.017443,           0.0017865,             0.00649,             0.00649,             0.00649
                  80,             0.03731,            0.022684,          0.00069495,             0.86493,             0.87004,              0.9059,             0.47356,            0.037464,            0.017469,           0.0016752,            0.006445,            0.006445,            0.006445
                  81,             0.03738,            0.022838,          0.00058899,             0.88553,             0.84405,             0.90186,             0.46982,            0.037442,            0.017556,           0.0016246,              0.0064,              0.0064,              0.0064
                  82,            0.037331,            0.022453,          0.00063533,             0.88648,             0.84707,             0.90371,             0.46814,            0.037468,             0.01747,           0.0017385,            0.006355,            0.006355,            0.006355
                  83,            0.037375,            0.021913,          0.00062306,             0.87453,             0.85621,             0.90387,             0.47305,            0.037348,            0.017498,           0.0017805,             0.00631,             0.00631,             0.00631
                  84,            0.037392,            0.022391,          0.00057696,             0.88725,             0.84808,             0.90433,             0.47315,            0.037737,            0.017493,           0.0016781,            0.006265,            0.006265,            0.006265
                  85,            0.036936,            0.023083,          0.00067242,             0.88385,             0.85215,              0.9032,             0.47092,            0.037724,            0.017487,           0.0017661,             0.00622,             0.00622,             0.00622
