               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08268,             0.04024,            0.021241,             0.38099,             0.41669,             0.35243,             0.14672,            0.052478,            0.028932,           0.0092408,            0.070038,           0.0033291,           0.0033291
                   1,            0.060375,            0.030144,           0.0082199,             0.72562,             0.58988,             0.65216,              0.2707,            0.047146,            0.018416,           0.0051826,            0.040005,           0.0066295,           0.0066295
                   2,            0.057172,            0.028909,           0.0066106,             0.84858,             0.68064,             0.77408,             0.33623,            0.042762,            0.018299,           0.0032358,           0.0099389,           0.0098968,           0.0098968
                   3,             0.05438,             0.02985,           0.0063243,             0.80765,             0.71573,             0.78703,             0.35439,             0.04343,            0.017455,           0.0028953,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052138,            0.028796,            0.005665,             0.83501,             0.68471,             0.76729,             0.34926,            0.041763,            0.018332,           0.0083784,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050402,            0.028908,            0.004986,             0.82392,             0.77979,             0.83003,             0.36864,            0.040888,            0.016703,           0.0012231,            0.009802,            0.009802,            0.009802
                   6,            0.049823,             0.02723,           0.0042361,             0.80901,             0.72015,             0.76402,             0.32094,            0.042365,             0.01691,           0.0018134,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04957,            0.027583,           0.0043107,             0.85109,             0.78876,              0.8522,              0.4069,            0.040255,            0.016052,            0.001152,            0.009703,            0.009703,            0.009703
                   8,            0.048231,            0.026628,           0.0035956,             0.81434,             0.77071,             0.80575,             0.33229,            0.042028,            0.015514,           0.0010205,           0.0096535,           0.0096535,           0.0096535
                   9,            0.048091,            0.025624,           0.0037538,             0.83136,             0.75158,              0.8103,             0.36231,            0.041377,            0.016403,           0.0018081,            0.009604,            0.009604,            0.009604
                  10,             0.04772,            0.025763,           0.0033822,             0.83704,             0.80177,             0.84517,             0.38381,             0.03998,            0.015303,          0.00068663,           0.0095545,           0.0095545,           0.0095545
                  11,            0.047405,            0.025652,           0.0030773,             0.85776,             0.79706,             0.85021,             0.38885,            0.039627,            0.015505,           0.0016871,            0.009505,            0.009505,            0.009505
                  12,             0.04728,            0.025124,           0.0030641,             0.85793,             0.80298,             0.85902,             0.38801,            0.039485,            0.015389,          0.00077746,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047081,             0.02478,            0.002851,             0.85671,             0.79758,             0.85364,             0.40874,            0.039327,            0.015227,          0.00067783,            0.009406,            0.009406,            0.009406
                  14,            0.046145,            0.025203,           0.0027486,             0.85567,             0.80292,             0.85634,             0.38376,            0.040031,            0.015166,          0.00050713,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045866,            0.024709,           0.0026253,             0.85055,             0.80819,             0.85439,             0.40006,            0.039389,             0.01575,           0.0009079,            0.009307,            0.009307,            0.009307
                  16,             0.04598,            0.025442,           0.0027022,             0.85024,             0.80743,             0.84975,             0.37895,            0.040184,            0.015102,          0.00053274,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045869,            0.024567,           0.0024353,             0.84898,             0.81171,             0.85522,             0.36947,             0.04062,            0.015413,          0.00068998,            0.009208,            0.009208,            0.009208
                  18,            0.046028,            0.025185,           0.0028311,             0.86093,             0.82252,             0.86683,             0.40259,            0.039642,            0.015067,          0.00087483,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045655,            0.024848,           0.0024618,             0.82366,             0.79988,              0.8328,             0.34369,            0.042055,            0.014849,          0.00073867,            0.009109,            0.009109,            0.009109
                  20,            0.045269,            0.023727,           0.0023189,             0.85332,             0.82759,             0.86823,             0.40717,            0.039292,            0.014957,          0.00036311,           0.0090595,           0.0090595,           0.0090595
                  21,            0.045053,            0.024235,           0.0021528,             0.84221,             0.82945,             0.86127,             0.39689,            0.039752,            0.015012,          0.00047075,             0.00901,             0.00901,             0.00901
                  22,            0.045025,            0.023705,           0.0019351,             0.85471,             0.82624,             0.86916,             0.39484,            0.039185,            0.014954,           0.0013533,           0.0089605,           0.0089605,           0.0089605
                  23,            0.044956,            0.023792,           0.0020972,             0.86323,             0.81832,              0.8691,             0.41283,            0.039347,            0.014904,          0.00059104,            0.008911,            0.008911,            0.008911
                  24,            0.044456,            0.024176,           0.0018862,              0.8487,             0.82648,             0.85893,             0.38284,            0.040479,            0.014829,          0.00039211,           0.0088615,           0.0088615,           0.0088615
                  25,            0.044204,            0.023803,           0.0019426,             0.85654,             0.84236,             0.87199,             0.40401,            0.039265,            0.015176,          0.00038975,            0.008812,            0.008812,            0.008812
                  26,            0.044152,            0.024427,           0.0019018,             0.85187,             0.83768,             0.86402,             0.39168,            0.039981,            0.014805,          0.00031203,           0.0087625,           0.0087625,           0.0087625
                  27,            0.044237,            0.023713,            0.001784,             0.84741,             0.83156,             0.86371,             0.38822,            0.039984,            0.015057,          0.00052412,            0.008713,            0.008713,            0.008713
                  28,            0.044433,            0.024351,           0.0020304,             0.86951,             0.84184,             0.88602,             0.42209,             0.03868,            0.014781,          0.00079371,           0.0086635,           0.0086635,           0.0086635
                  29,            0.043973,            0.024008,            0.001898,             0.85572,              0.8171,             0.86231,             0.38381,            0.040104,            0.014899,          0.00050153,            0.008614,            0.008614,            0.008614
                  30,            0.043761,            0.023119,           0.0017451,             0.87014,             0.83256,             0.87928,             0.41414,            0.039054,            0.014841,          0.00033662,           0.0085645,           0.0085645,           0.0085645
                  31,             0.04471,             0.02391,           0.0021647,             0.83774,              0.8316,             0.85704,              0.3914,            0.039734,               0.015,          0.00060226,            0.008515,            0.008515,            0.008515
                  32,            0.045289,            0.024173,           0.0024589,             0.86173,             0.82611,             0.87254,              0.4059,            0.038918,            0.015056,          0.00065956,           0.0084655,           0.0084655,           0.0084655
                  33,             0.04551,              0.0243,            0.003235,             0.85995,             0.82045,             0.87066,             0.39874,              0.0391,            0.015002,          0.00050687,            0.008416,            0.008416,            0.008416
                  34,            0.045533,            0.024855,           0.0024124,             0.85581,              0.8423,             0.87837,             0.41585,             0.03889,            0.014869,          0.00033645,           0.0083665,           0.0083665,           0.0083665
                  35,            0.044984,            0.023984,           0.0025661,             0.84865,             0.83561,             0.86503,             0.40335,            0.038606,            0.014863,          0.00038081,            0.008317,            0.008317,            0.008317
                  36,            0.044663,            0.024067,           0.0023743,             0.85046,             0.82214,             0.86404,             0.39383,            0.039004,             0.01498,          0.00047756,           0.0082675,           0.0082675,           0.0082675
                  37,            0.044949,            0.024488,           0.0023681,             0.85449,             0.83232,             0.87283,             0.40237,            0.038951,             0.01493,          0.00042862,            0.008218,            0.008218,            0.008218
                  38,            0.044749,            0.023706,           0.0022982,             0.86038,             0.83151,             0.87532,             0.40234,            0.039103,            0.014615,          0.00042488,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044795,            0.023665,           0.0024062,             0.85895,              0.8243,             0.86989,              0.3986,            0.039375,              0.0149,          0.00053585,            0.008119,            0.008119,            0.008119
                  40,            0.044823,            0.023881,           0.0023185,             0.84962,             0.82559,             0.86567,             0.38851,            0.039672,            0.014917,          0.00047894,           0.0080695,           0.0080695,           0.0080695
                  41,            0.044493,            0.024436,           0.0022588,             0.85424,             0.83711,             0.87783,             0.38747,            0.039679,            0.014713,          0.00034149,             0.00802,             0.00802,             0.00802
                  42,             0.04418,            0.023854,           0.0023807,             0.85941,             0.82083,             0.87581,             0.40754,            0.038833,            0.014684,          0.00033112,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044299,            0.024251,           0.0021202,             0.85654,             0.82836,              0.8724,             0.39293,            0.039885,             0.01468,          0.00043817,            0.007921,            0.007921,            0.007921
