               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092364,            0.055855,            0.021783,             0.30635,             0.48341,             0.30511,             0.10644,            0.065165,             0.06123,            0.019316,            0.070261,           0.0033043,           0.0033043
                   1,            0.065611,            0.046363,           0.0072223,             0.40626,              0.4249,             0.36396,             0.13623,            0.060031,            0.045423,           0.0063791,            0.040217,           0.0065939,           0.0065939
                   2,            0.060705,            0.043945,           0.0047513,             0.38771,             0.30493,             0.26839,            0.087688,            0.065057,            0.053567,            0.019653,            0.010129,           0.0098394,           0.0098394
                   3,            0.055647,            0.045153,           0.0045873,             0.51477,             0.30853,             0.33687,             0.13924,            0.058001,            0.054933,           0.0071533,            0.009802,            0.009802,            0.009802
                   4,            0.053105,            0.042968,           0.0032397,             0.81389,             0.64375,             0.73043,             0.30463,            0.048204,            0.037485,             0.00181,            0.009802,            0.009802,            0.009802
                   5,            0.050719,            0.041249,           0.0027005,             0.67904,             0.56862,             0.61018,             0.26718,            0.047868,            0.039543,             0.00485,            0.009736,            0.009736,            0.009736
                   6,            0.049547,            0.040586,           0.0022383,             0.74947,             0.62586,             0.68534,             0.29774,            0.049193,            0.035574,           0.0012778,             0.00967,             0.00967,             0.00967
                   7,            0.048267,            0.040306,           0.0018744,              0.8232,             0.69766,             0.77638,             0.35275,            0.045352,            0.033519,           0.0020517,            0.009604,            0.009604,            0.009604
                   8,            0.047298,            0.039284,           0.0019811,             0.82251,             0.58893,             0.68557,             0.31211,            0.047749,            0.037919,           0.0030582,            0.009538,            0.009538,            0.009538
                   9,            0.046082,            0.039481,           0.0014056,              0.8516,             0.71021,               0.802,             0.37018,            0.044597,            0.032568,          0.00090629,            0.009472,            0.009472,            0.009472
                  10,            0.046664,            0.039253,           0.0015616,             0.83251,             0.72291,             0.78924,              0.3675,            0.043235,             0.03322,          0.00082404,            0.009406,            0.009406,            0.009406
