               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074556,            0.033833,            0.024924,             0.37633,             0.51037,             0.39705,             0.16088,              0.0532,            0.018433,            0.015425,            0.070049,           0.0033279,           0.0033279
                   1,            0.055331,            0.023663,           0.0083116,             0.70667,             0.57617,             0.60297,             0.22439,            0.047362,            0.017598,            0.011645,            0.040019,           0.0066312,           0.0066312
                   2,            0.051632,            0.023478,           0.0064949,             0.69726,             0.45383,             0.50472,             0.22515,            0.048515,            0.020673,            0.016251,           0.0099593,           0.0099046,           0.0099046
                   3,             0.04968,            0.023288,           0.0058761,             0.78004,             0.62953,             0.69216,             0.28377,             0.04612,            0.017352,           0.0076485,            0.009865,            0.009865,            0.009865
                   4,            0.047481,            0.022331,           0.0048301,             0.79827,             0.66829,             0.73743,             0.34802,            0.042513,             0.01641,           0.0048511,            0.009865,            0.009865,            0.009865
                   5,            0.046106,            0.021876,           0.0040664,             0.82624,             0.64336,             0.71969,             0.33367,            0.044142,            0.017498,           0.0068549,             0.00982,             0.00982,             0.00982
                   6,            0.044922,            0.021257,           0.0035816,             0.81062,             0.67635,             0.73445,             0.33999,            0.043535,            0.015799,           0.0089523,            0.009775,            0.009775,            0.009775
                   7,            0.044757,            0.020569,            0.003519,             0.84063,             0.70867,              0.7691,             0.34201,            0.043452,            0.015294,           0.0045669,             0.00973,             0.00973,             0.00973
                   8,            0.044356,            0.020585,           0.0031547,             0.86037,               0.733,             0.80354,             0.39981,            0.041257,            0.015346,           0.0033178,            0.009685,            0.009685,            0.009685
                   9,            0.044009,            0.020232,           0.0027031,             0.87219,              0.7199,             0.79685,             0.38269,            0.040966,            0.015294,           0.0048979,             0.00964,             0.00964,             0.00964
                  10,            0.043773,            0.020008,           0.0030604,             0.85697,             0.75917,             0.81576,             0.37867,            0.041605,            0.014694,           0.0030043,            0.009595,            0.009595,            0.009595
                  11,            0.043527,            0.019867,           0.0027635,             0.87196,             0.73593,             0.81722,             0.39864,            0.040819,            0.014667,           0.0043405,             0.00955,             0.00955,             0.00955
                  12,            0.043222,            0.020012,           0.0027175,             0.82774,             0.75241,             0.80318,             0.36246,             0.04145,            0.014663,           0.0025824,            0.009505,            0.009505,            0.009505
                  13,            0.043081,            0.019973,           0.0026261,             0.84366,             0.76745,              0.8182,             0.39114,            0.040246,            0.014662,           0.0027609,             0.00946,             0.00946,             0.00946
                  14,            0.043169,            0.019763,           0.0024449,             0.86162,             0.76035,             0.82766,             0.40116,             0.04004,            0.014827,           0.0035618,            0.009415,            0.009415,            0.009415
                  15,            0.042371,            0.019662,           0.0020404,             0.87844,             0.76119,              0.8238,             0.36784,            0.041102,             0.01443,           0.0032151,             0.00937,             0.00937,             0.00937
                  16,            0.041863,            0.019549,           0.0021478,             0.86166,             0.76349,             0.82224,             0.38152,            0.040827,            0.014669,           0.0030566,            0.009325,            0.009325,            0.009325
                  17,            0.042043,            0.019082,           0.0023154,             0.84776,             0.77847,             0.83433,             0.40048,            0.040304,            0.014384,            0.002823,             0.00928,             0.00928,             0.00928
                  18,            0.042307,            0.019305,           0.0020568,              0.8553,             0.75049,             0.81937,              0.3949,            0.040618,            0.014693,            0.002866,            0.009235,            0.009235,            0.009235
                  19,             0.04198,            0.019052,           0.0022353,             0.83944,             0.76776,             0.81502,             0.39137,            0.040465,            0.014455,           0.0025778,             0.00919,             0.00919,             0.00919
                  20,            0.042481,            0.019619,           0.0024853,             0.85085,             0.76238,             0.82613,             0.40067,            0.040556,            0.014429,           0.0029949,            0.009145,            0.009145,            0.009145
                  21,            0.041936,            0.019595,           0.0020723,             0.84884,             0.79135,             0.83645,             0.40315,            0.039962,             0.01428,           0.0023335,              0.0091,              0.0091,              0.0091
                  22,             0.04191,            0.019232,            0.002263,             0.88235,             0.77519,              0.8401,             0.40618,            0.039773,             0.01416,           0.0021154,            0.009055,            0.009055,            0.009055
                  23,            0.042104,            0.019672,           0.0020919,             0.88091,             0.78228,             0.85037,             0.40338,            0.040065,             0.01414,           0.0026518,             0.00901,             0.00901,             0.00901
                  24,             0.04189,            0.019068,           0.0019808,             0.86252,             0.79597,             0.84964,             0.40933,            0.040094,            0.014101,           0.0021728,            0.008965,            0.008965,            0.008965
                  25,            0.041709,            0.018828,           0.0018348,             0.87808,             0.76904,             0.85002,             0.41806,            0.039317,            0.014106,           0.0024711,             0.00892,             0.00892,             0.00892
                  26,            0.041719,            0.019142,           0.0024282,             0.86737,             0.77956,             0.84128,             0.42663,            0.039249,            0.014096,           0.0024053,            0.008875,            0.008875,            0.008875
                  27,            0.041511,            0.018945,           0.0019325,             0.86105,             0.78178,             0.84489,             0.41655,            0.039522,            0.014077,           0.0022499,             0.00883,             0.00883,             0.00883
                  28,            0.041503,            0.019363,           0.0020486,             0.88632,              0.7733,             0.85507,              0.4311,            0.039143,              0.0139,           0.0020285,            0.008785,            0.008785,            0.008785
                  29,            0.041367,            0.019048,           0.0019025,             0.86653,             0.78628,              0.8471,              0.4113,            0.039468,            0.013975,           0.0026656,             0.00874,             0.00874,             0.00874
                  30,            0.041142,             0.01905,           0.0017998,             0.87429,             0.79521,             0.85674,             0.43149,            0.039122,            0.013933,           0.0022408,            0.008695,            0.008695,            0.008695
                  31,            0.041195,            0.018909,           0.0018132,             0.86381,             0.80024,             0.85677,              0.4297,            0.039205,            0.013951,           0.0026104,             0.00865,             0.00865,             0.00865
                  32,             0.04157,            0.018795,           0.0019373,             0.86318,              0.7885,             0.84994,             0.42436,            0.039359,            0.013977,           0.0018893,            0.008605,            0.008605,            0.008605
                  33,            0.041032,            0.018782,           0.0019068,             0.86386,             0.79872,             0.85967,             0.43698,            0.038792,            0.013823,           0.0020901,             0.00856,             0.00856,             0.00856
