               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10474,            0.043805,            0.015021,             0.17837,             0.16553,            0.066963,            0.018679,            0.086728,            0.039931,            0.010601,            0.070423,           0.0032864,           0.0032864
                   1,            0.077295,            0.041528,            0.010243,             0.34456,             0.38392,             0.27883,            0.084067,            0.067374,            0.044073,           0.0048825,            0.040363,           0.0065601,           0.0065601
                   2,            0.068919,              0.0389,           0.0062796,             0.50976,             0.20289,             0.17569,            0.054236,            0.075356,            0.048296,           0.0095142,            0.010243,           0.0097739,           0.0097739
                   3,            0.063945,            0.038099,           0.0055086,             0.62801,             0.38855,             0.40364,             0.13251,            0.061135,            0.029909,           0.0045954,             0.00973,             0.00973,             0.00973
                   4,            0.060446,             0.03587,           0.0045515,             0.59133,             0.44634,             0.42143,             0.13472,            0.060829,            0.029678,           0.0028622,             0.00973,             0.00973,             0.00973
                   5,            0.058629,            0.035889,           0.0040288,             0.66598,             0.53468,             0.55751,             0.19865,             0.05563,            0.027362,           0.0017699,             0.00964,             0.00964,             0.00964
                   6,            0.057504,            0.036212,           0.0037992,             0.68456,             0.52197,             0.60642,              0.2347,             0.05138,            0.033062,           0.0021541,             0.00955,             0.00955,             0.00955
                   7,            0.056455,             0.03488,           0.0031761,             0.79896,             0.63321,             0.71066,             0.30341,             0.04877,            0.025508,           0.0017128,             0.00946,             0.00946,             0.00946
                   8,            0.056223,            0.035135,           0.0032474,             0.74624,             0.59743,             0.64343,             0.24543,            0.051397,            0.025586,           0.0010346,             0.00937,             0.00937,             0.00937
                   9,            0.055056,            0.034933,           0.0031974,             0.78486,             0.64159,             0.69233,             0.28281,            0.047936,             0.02502,           0.0018013,             0.00928,             0.00928,             0.00928
                  10,            0.054418,            0.034002,           0.0029922,             0.75881,              0.6281,              0.6564,             0.24219,            0.049982,            0.024093,            0.001435,             0.00919,             0.00919,             0.00919
                  11,            0.054109,            0.033419,           0.0030123,             0.76137,             0.60977,             0.65675,             0.23865,            0.050627,            0.025326,           0.0015305,              0.0091,              0.0091,              0.0091
                  12,            0.054346,            0.033797,           0.0027413,             0.73862,             0.54867,             0.61483,              0.2568,            0.048937,            0.027606,            0.004495,             0.00901,             0.00901,             0.00901
                  13,             0.05374,            0.033928,           0.0025445,             0.77296,             0.62328,             0.68065,             0.28247,            0.049538,            0.023834,           0.0010668,             0.00892,             0.00892,             0.00892
                  14,            0.052652,            0.032829,           0.0024945,             0.80015,             0.61005,             0.68653,             0.28882,            0.048016,            0.025729,            0.001066,             0.00883,             0.00883,             0.00883
                  15,            0.052542,            0.032593,           0.0024727,             0.78425,             0.66892,             0.71191,             0.28691,              0.0483,            0.023545,          0.00082727,             0.00874,             0.00874,             0.00874
                  16,            0.052615,            0.032793,            0.002415,             0.81465,             0.70654,             0.74509,             0.27612,            0.047817,            0.023373,          0.00078867,             0.00865,             0.00865,             0.00865
                  17,            0.052442,            0.032723,            0.002535,             0.75659,             0.63487,             0.66691,             0.24153,            0.049368,            0.026279,          0.00099605,             0.00856,             0.00856,             0.00856
                  18,            0.052095,             0.03221,           0.0022941,             0.80298,             0.67255,             0.74058,             0.31515,            0.046362,            0.024389,           0.0012034,             0.00847,             0.00847,             0.00847
                  19,            0.052084,             0.03262,           0.0023224,             0.80088,              0.6957,             0.75504,             0.31774,            0.045826,            0.023918,          0.00073223,             0.00838,             0.00838,             0.00838
                  20,            0.051312,            0.032016,            0.002376,              0.8267,             0.66986,             0.75581,              0.3281,            0.046398,            0.023566,           0.0010842,             0.00829,             0.00829,             0.00829
