               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11144,            0.061371,            0.016981,             0.15591,             0.18218,            0.084007,            0.021663,            0.092647,            0.059624,           0.0030661,              0.0721,              0.0031,              0.0031
                   1,            0.082629,            0.057098,           0.0021865,             0.27609,             0.42871,             0.23198,            0.067661,            0.075498,            0.075912,            0.001048,            0.043238,           0.0062376,           0.0062376
                   2,            0.072334,            0.051362,           0.0018541,             0.40812,             0.58119,             0.45809,             0.15746,            0.064827,            0.071205,           0.0009007,            0.014312,           0.0093119,           0.0093119
                   3,            0.063641,            0.049899,           0.0015681,             0.36925,             0.45446,             0.28924,            0.089556,            0.072828,            0.057617,          0.00070944,            0.009703,            0.009703,            0.009703
                   4,            0.057643,            0.049764,           0.0011102,             0.68431,             0.62883,             0.63959,             0.20209,            0.057649,            0.045113,          0.00053668,            0.009703,            0.009703,            0.009703
                   5,             0.05513,            0.048351,          0.00076006,             0.70869,             0.64257,              0.6585,             0.23263,            0.055082,            0.040924,          0.00057588,            0.009604,            0.009604,            0.009604
                   6,            0.053676,            0.047898,           0.0006172,             0.76558,             0.66931,              0.7229,             0.26049,            0.052326,            0.041531,           0.0004817,            0.009505,            0.009505,            0.009505
                   7,            0.051929,            0.046861,          0.00051057,             0.76934,             0.69604,             0.70418,             0.22093,            0.054933,            0.038296,          0.00040727,            0.009406,            0.009406,            0.009406
                   8,            0.051595,            0.047643,          0.00042851,             0.78689,              0.6901,             0.75646,              0.2851,            0.050864,            0.041079,          0.00041645,            0.009307,            0.009307,            0.009307
                   9,             0.05161,            0.044765,          0.00042353,             0.81811,             0.73366,             0.78546,              0.2732,            0.050432,            0.036034,          0.00041776,            0.009208,            0.009208,            0.009208
                  10,            0.050272,            0.044546,          0.00041326,             0.81446,             0.70693,               0.775,             0.26528,            0.051903,            0.037298,          0.00037231,            0.009109,            0.009109,            0.009109
                  11,             0.04984,            0.045042,          0.00035112,             0.80193,             0.71584,             0.77254,             0.28588,            0.050986,            0.038866,          0.00032473,             0.00901,             0.00901,             0.00901
                  12,             0.04919,            0.044625,          0.00033483,             0.81107,             0.68856,             0.76315,             0.26686,            0.050965,            0.036844,          0.00029674,            0.008911,            0.008911,            0.008911
                  13,            0.049125,            0.045215,          0.00032338,             0.80444,             0.73311,             0.77812,             0.28586,            0.049525,            0.036749,          0.00034194,            0.008812,            0.008812,            0.008812
                  14,            0.048488,            0.043838,          0.00028496,             0.80019,             0.68218,             0.73267,             0.26608,            0.051396,            0.036873,          0.00027218,            0.008713,            0.008713,            0.008713
                  15,            0.048454,            0.044279,          0.00029014,             0.79579,             0.71188,             0.76018,             0.26168,            0.050486,            0.036076,          0.00027426,            0.008614,            0.008614,            0.008614
                  16,            0.047617,            0.042911,          0.00027004,             0.78864,             0.73762,              0.7635,             0.28157,            0.050273,            0.035789,          0.00028656,            0.008515,            0.008515,            0.008515
                  17,            0.047341,            0.044798,          0.00024168,             0.77162,             0.72258,             0.75456,             0.29488,            0.049147,            0.038656,          0.00025132,            0.008416,            0.008416,            0.008416
                  18,            0.047451,            0.044348,          0.00024044,               0.843,             0.70176,             0.77446,             0.28754,            0.049236,            0.035765,          0.00021858,            0.008317,            0.008317,            0.008317
                  19,            0.046468,              0.0433,          0.00023273,             0.80318,             0.78381,             0.79213,             0.28215,             0.04912,            0.036085,          0.00021243,            0.008218,            0.008218,            0.008218
                  20,            0.046327,            0.043662,          0.00021481,             0.80857,             0.74752,             0.79711,             0.30263,            0.048766,            0.035719,          0.00023447,            0.008119,            0.008119,            0.008119
                  21,            0.046912,            0.042966,          0.00021981,             0.85205,             0.74699,             0.80996,             0.32787,            0.047168,            0.035391,          0.00022188,             0.00802,             0.00802,             0.00802
                  22,            0.045875,            0.043145,          0.00021171,             0.85458,             0.77384,             0.82811,             0.31672,            0.047763,            0.035383,          0.00020219,            0.007921,            0.007921,            0.007921
