               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11005,            0.063337,            0.024488,           0.0046929,             0.28649,           0.0032013,          0.00077645,            0.090089,            0.062187,            0.015236,              0.0856,              0.0016,              0.0016
                   1,            0.090681,             0.07572,           0.0091562,             0.19635,             0.21622,             0.11382,            0.034293,            0.078993,             0.07856,           0.0025551,            0.070267,           0.0032673,           0.0032673
                   2,             0.08303,            0.067739,           0.0022322,             0.14423,             0.30811,             0.11508,             0.02335,            0.086762,            0.098209,          0.00051229,            0.054901,            0.004901,            0.004901
                   3,            0.079878,            0.056272,           0.0010122,             0.28727,              0.4991,              0.2735,            0.093543,            0.075754,            0.086494,          0.00085025,            0.039501,            0.006501,            0.006501
                   4,            0.075765,            0.052139,           0.0012247,             0.43807,             0.48468,             0.40144,               0.122,            0.066478,            0.077118,           0.0012292,            0.024067,           0.0080674,           0.0080674
                   5,            0.067883,            0.050138,           0.0015514,             0.33588,              0.3009,              0.2315,            0.083873,            0.072932,            0.067459,           0.0011821,            0.009505,            0.009505,            0.009505
                   6,            0.061868,            0.050672,           0.0014401,             0.23998,             0.78739,             0.42568,             0.16155,            0.058657,             0.25175,          0.00069132,            0.009505,            0.009505,            0.009505
                   7,            0.057958,            0.045775,           0.0013898,             0.54865,             0.61261,             0.50481,             0.16976,            0.057643,            0.088531,          0.00083213,            0.009406,            0.009406,            0.009406
                   8,            0.053246,            0.047209,           0.0012934,             0.78198,              0.7009,             0.73213,             0.30727,            0.050853,              0.1205,          0.00081396,            0.009307,            0.009307,            0.009307
                   9,            0.050252,            0.045546,           0.0011246,             0.84262,             0.73317,             0.78303,             0.32116,             0.05075,            0.053925,          0.00080452,            0.009208,            0.009208,            0.009208
                  10,            0.047821,            0.045851,          0.00094284,             0.87973,             0.79077,             0.87751,              0.4474,            0.038736,            0.035507,          0.00081906,            0.009109,            0.009109,            0.009109
                  11,            0.047106,            0.044924,          0.00082351,             0.85655,             0.74414,             0.80325,             0.35791,            0.044734,            0.044815,          0.00070457,             0.00901,             0.00901,             0.00901
                  12,            0.045734,            0.042174,          0.00075203,             0.81606,             0.66847,             0.72326,              0.3359,            0.048165,            0.047939,          0.00061662,            0.008911,            0.008911,            0.008911
                  13,            0.044503,            0.041574,          0.00071622,               0.857,             0.78829,             0.83873,             0.39878,            0.040756,            0.039768,          0.00056338,            0.008812,            0.008812,            0.008812
                  14,            0.043772,            0.042318,          0.00061368,             0.86086,             0.73575,             0.82791,              0.4012,            0.043644,            0.037384,          0.00063143,            0.008713,            0.008713,            0.008713
                  15,            0.043623,            0.042788,          0.00063291,             0.83067,             0.71351,             0.79553,             0.42389,            0.037463,            0.038052,          0.00056832,            0.008614,            0.008614,            0.008614
                  16,             0.04232,            0.041106,          0.00059179,             0.87508,             0.82342,             0.89167,             0.47857,            0.036977,            0.031242,           0.0005338,            0.008515,            0.008515,            0.008515
                  17,            0.042125,            0.042145,          0.00059196,             0.88994,              0.8018,             0.89202,              0.4778,            0.035716,            0.031942,           0.0005115,            0.008416,            0.008416,            0.008416
                  18,            0.040612,            0.040651,          0.00050186,             0.87237,             0.80054,             0.87259,             0.47623,            0.035347,            0.032955,          0.00047126,            0.008317,            0.008317,            0.008317
                  19,            0.040589,            0.038171,          0.00048755,             0.89132,             0.81277,             0.89227,             0.48666,            0.035361,            0.034061,          0.00049121,            0.008218,            0.008218,            0.008218
                  20,             0.04025,              0.0388,          0.00048189,             0.88921,             0.82433,             0.89971,              0.5055,            0.034265,            0.033302,          0.00046458,            0.008119,            0.008119,            0.008119
                  21,            0.041729,            0.039345,          0.00047822,             0.87008,             0.84144,             0.89725,             0.50936,            0.033572,            0.031273,          0.00042529,             0.00802,             0.00802,             0.00802
                  22,            0.039308,            0.038303,           0.0004245,             0.86222,             0.82308,             0.87714,             0.45334,             0.03769,            0.032127,          0.00040066,            0.007921,            0.007921,            0.007921
                  23,            0.037994,            0.035861,          0.00039279,             0.89211,             0.78965,             0.86344,             0.46851,            0.035052,            0.032753,          0.00033381,            0.007822,            0.007822,            0.007822
                  24,            0.038698,            0.039476,          0.00036192,             0.92383,             0.83042,             0.90488,             0.51272,              0.0332,            0.030447,          0.00034525,            0.007723,            0.007723,            0.007723
                  25,            0.037358,            0.039514,            0.000343,             0.87636,             0.82523,             0.89502,             0.50068,            0.035198,            0.030912,          0.00032234,            0.007624,            0.007624,            0.007624
                  26,            0.037626,            0.037193,          0.00032074,             0.88922,             0.79543,             0.86617,             0.44865,            0.041255,            0.033882,          0.00034168,            0.007525,            0.007525,            0.007525
