               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1108,            0.053888,            0.019074,             0.56488,             0.06717,            0.032827,           0.0081618,            0.092452,            0.049413,            0.010386,            0.070682,           0.0032576,           0.0032576
                   1,            0.081041,            0.052222,            0.011435,             0.67808,             0.18724,             0.21178,            0.086306,            0.067812,              0.1195,           0.0082024,            0.040617,           0.0065257,           0.0065257
                   2,            0.068647,            0.045374,           0.0086433,              0.2499,             0.37879,             0.23508,            0.064188,            0.067011,            0.063124,            0.010979,            0.010485,           0.0097277,           0.0097277
                   3,            0.061394,            0.043883,           0.0055087,              0.3763,             0.49696,             0.34809,             0.12632,             0.05763,            0.054247,           0.0046366,            0.009703,            0.009703,            0.009703
                   4,            0.056333,            0.042043,            0.003842,             0.36378,             0.59628,              0.4156,             0.17112,            0.059132,            0.060534,            0.054362,            0.009703,            0.009703,            0.009703
                   5,             0.05379,            0.039808,           0.0034951,             0.59455,             0.44618,             0.46137,              0.1601,            0.059736,            0.032553,           0.0090368,            0.009604,            0.009604,            0.009604
                   6,            0.052401,            0.039999,           0.0029592,             0.81879,             0.60532,             0.71745,              0.3235,            0.047451,            0.033737,            0.002449,            0.009505,            0.009505,            0.009505
                   7,            0.050345,            0.039003,           0.0027363,             0.75342,             0.59375,             0.66607,              0.3282,             0.04733,             0.03172,           0.0024297,            0.009406,            0.009406,            0.009406
                   8,            0.048918,            0.038335,           0.0024179,             0.73262,              0.5933,             0.66096,             0.28967,            0.049654,            0.033696,           0.0021066,            0.009307,            0.009307,            0.009307
                   9,            0.048633,            0.036899,           0.0025776,             0.81958,              0.6074,             0.70646,             0.34623,            0.044559,            0.029587,           0.0028095,            0.009208,            0.009208,            0.009208
                  10,            0.047705,             0.03643,           0.0020572,             0.74497,              0.5801,             0.66231,             0.31092,            0.047702,            0.029298,           0.0027337,            0.009109,            0.009109,            0.009109
                  11,             0.04671,            0.035356,           0.0019041,             0.82551,             0.61447,             0.70797,             0.33244,            0.047124,            0.029033,           0.0026007,             0.00901,             0.00901,             0.00901
                  12,            0.046881,            0.036235,           0.0019294,             0.85059,             0.58512,             0.69226,             0.33501,            0.048201,            0.033668,           0.0024021,            0.008911,            0.008911,            0.008911
                  13,            0.046357,            0.036846,           0.0017974,             0.80136,             0.70353,             0.75786,             0.38565,            0.043944,            0.028338,           0.0016765,            0.008812,            0.008812,            0.008812
                  14,            0.045609,            0.035872,           0.0017049,             0.76895,             0.68795,             0.73467,             0.34704,            0.044774,            0.028352,           0.0023411,            0.008713,            0.008713,            0.008713
                  15,            0.044694,            0.034823,           0.0015436,             0.87288,             0.66987,             0.77753,             0.37145,            0.045592,            0.027594,           0.0015258,            0.008614,            0.008614,            0.008614
                  16,            0.045059,            0.035984,           0.0014007,             0.83417,             0.69953,              0.7793,             0.39942,            0.043242,            0.027387,           0.0021511,            0.008515,            0.008515,            0.008515
                  17,            0.044101,            0.035153,            0.001276,             0.84856,             0.62684,              0.7251,              0.3697,            0.043838,            0.029903,           0.0030112,            0.008416,            0.008416,            0.008416
                  18,            0.044488,            0.033618,           0.0012088,             0.86756,             0.68621,             0.77431,             0.38872,            0.043874,            0.027887,           0.0014108,            0.008317,            0.008317,            0.008317
                  19,            0.043969,            0.034984,           0.0012629,             0.78054,             0.70748,             0.77004,             0.40512,            0.042951,            0.027175,           0.0014832,            0.008218,            0.008218,            0.008218
                  20,             0.04315,            0.033843,           0.0013161,             0.86403,             0.71271,             0.79499,             0.39526,            0.042893,            0.027662,           0.0013629,            0.008119,            0.008119,            0.008119
                  21,            0.043916,            0.034491,           0.0012475,             0.89409,             0.70888,             0.78967,             0.42308,             0.04224,            0.026621,           0.0015237,             0.00802,             0.00802,             0.00802
                  22,            0.043459,            0.034459,           0.0011931,             0.86958,             0.71576,             0.78344,             0.40032,            0.043173,            0.027322,           0.0018145,            0.007921,            0.007921,            0.007921
                  23,            0.042952,            0.032701,           0.0013327,             0.87449,              0.7257,             0.79178,             0.40323,            0.042692,             0.02735,           0.0012985,            0.007822,            0.007822,            0.007822
                  24,            0.043446,            0.032771,           0.0011277,             0.89533,             0.69592,             0.79101,             0.41764,            0.042715,             0.02703,           0.0016001,            0.007723,            0.007723,            0.007723
                  25,            0.042952,              0.0332,           0.0010286,               0.886,             0.69864,              0.7805,             0.39765,            0.042423,            0.027159,           0.0020235,            0.007624,            0.007624,            0.007624
                  26,            0.042517,            0.033468,           0.0011555,             0.87101,             0.72295,             0.80572,             0.41712,            0.041302,            0.027219,           0.0015056,            0.007525,            0.007525,            0.007525
                  27,            0.042094,            0.033099,           0.0010296,             0.87112,             0.64407,               0.735,             0.37802,            0.043665,            0.027966,           0.0019644,            0.007426,            0.007426,            0.007426
                  28,            0.041937,            0.033654,          0.00098238,             0.86801,              0.7431,             0.81711,             0.42557,            0.041348,            0.026619,           0.0014071,            0.007327,            0.007327,            0.007327
                  29,            0.042074,            0.033271,          0.00098921,             0.84902,             0.70842,             0.77259,             0.40691,            0.042903,            0.027498,           0.0017899,            0.007228,            0.007228,            0.007228
                  30,            0.041713,            0.032819,           0.0010456,             0.85495,              0.7111,             0.79246,             0.41488,            0.041634,            0.026777,           0.0014416,            0.007129,            0.007129,            0.007129
                  31,            0.041758,            0.031412,           0.0010842,             0.86374,             0.72745,             0.82039,             0.42474,            0.042885,            0.027172,           0.0014265,             0.00703,             0.00703,             0.00703
                  32,            0.041216,             0.03343,          0.00077433,             0.86534,             0.71901,             0.79763,              0.4183,            0.042721,             0.02706,           0.0012712,            0.006931,            0.006931,            0.006931
