               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10263,            0.026737,            0.021986,             0.22095,             0.22666,             0.13312,            0.035751,            0.077167,            0.027249,            0.010307,            0.070326,           0.0032971,           0.0032971
                   1,            0.071382,            0.025124,           0.0082344,             0.44249,             0.45673,              0.3616,             0.13785,            0.058163,            0.021663,           0.0045458,            0.040296,           0.0066006,           0.0066006
                   2,            0.062762,            0.022151,           0.0061494,             0.45525,             0.30029,             0.26421,            0.075873,            0.067498,            0.021802,            0.018814,            0.010236,           0.0098741,           0.0098741
                   3,            0.058544,            0.021903,           0.0057786,             0.52745,             0.41679,             0.41737,             0.17991,            0.059473,            0.017581,            0.012493,            0.009865,            0.009865,            0.009865
                   4,            0.055389,            0.020786,           0.0040117,             0.63697,             0.44228,              0.4686,             0.17661,            0.057696,            0.017402,           0.0075463,            0.009865,            0.009865,            0.009865
                   5,             0.05382,            0.020318,            0.003703,             0.77567,             0.63071,             0.69478,             0.28349,            0.048143,            0.015351,           0.0019301,             0.00982,             0.00982,             0.00982
                   6,            0.052192,            0.019427,           0.0034577,             0.75247,             0.63334,             0.69674,             0.31073,            0.047163,            0.014849,           0.0022985,            0.009775,            0.009775,            0.009775
                   7,            0.051511,            0.019438,           0.0027547,             0.73428,             0.59109,             0.63505,              0.2486,            0.052551,            0.014011,           0.0019993,             0.00973,             0.00973,             0.00973
                   8,            0.051363,            0.019254,           0.0028913,             0.79236,             0.65807,             0.73157,             0.32199,            0.046171,            0.014334,           0.0020138,            0.009685,            0.009685,            0.009685
                   9,            0.050982,            0.019217,           0.0024679,             0.81317,             0.69212,             0.76409,             0.34728,            0.044921,            0.014034,           0.0013117,             0.00964,             0.00964,             0.00964
                  10,            0.050031,            0.019001,           0.0023319,             0.81614,             0.68379,             0.74417,             0.29506,            0.047827,            0.013737,           0.0010337,            0.009595,            0.009595,            0.009595
                  11,            0.049586,             0.01898,           0.0021997,             0.81315,             0.68886,             0.75644,              0.3479,            0.045039,            0.013649,           0.0020338,             0.00955,             0.00955,             0.00955
                  12,            0.049389,            0.018359,           0.0023488,             0.80577,             0.68231,             0.73601,              0.2723,            0.049167,            0.013463,           0.0020464,            0.009505,            0.009505,            0.009505
                  13,            0.049123,            0.018631,           0.0023394,             0.79096,             0.63735,             0.70472,             0.30489,            0.048082,            0.014461,           0.0020475,             0.00946,             0.00946,             0.00946
                  14,            0.048824,            0.018378,            0.002056,              0.7872,             0.67377,             0.74834,             0.32353,            0.045307,            0.014381,            0.001631,            0.009415,            0.009415,            0.009415
                  15,            0.048525,              0.0184,           0.0019622,             0.83981,             0.69397,             0.78897,             0.34651,            0.045033,            0.013605,            0.001055,             0.00937,             0.00937,             0.00937
                  16,            0.048953,            0.018432,           0.0023153,             0.83348,              0.6849,             0.76358,             0.32427,            0.046192,            0.013109,           0.0011742,            0.009325,            0.009325,            0.009325
                  17,            0.048476,            0.018119,           0.0020439,             0.82882,             0.66709,             0.74985,             0.34778,             0.04526,             0.01466,           0.0011071,             0.00928,             0.00928,             0.00928
                  18,            0.048347,            0.017827,           0.0019973,             0.80869,             0.66151,             0.74793,             0.33814,            0.044949,            0.014334,           0.0017323,            0.009235,            0.009235,            0.009235
                  19,            0.048002,            0.017714,           0.0018599,             0.81628,             0.68846,             0.75717,             0.30785,            0.047029,            0.013708,          0.00097152,             0.00919,             0.00919,             0.00919
                  20,            0.047803,            0.017762,           0.0017406,             0.84225,             0.71178,             0.78177,             0.33225,            0.045633,            0.013096,           0.0011512,            0.009145,            0.009145,            0.009145
                  21,            0.047422,            0.017859,           0.0018166,              0.8186,             0.68083,             0.75105,             0.32068,            0.046835,              0.0137,           0.0015925,              0.0091,              0.0091,              0.0091
                  22,            0.047913,            0.017722,           0.0018835,             0.85839,             0.71165,             0.78648,             0.34971,            0.044206,            0.013115,            0.001734,            0.009055,            0.009055,            0.009055
                  23,            0.047082,            0.017965,            0.001798,             0.81069,             0.64393,             0.71209,             0.31499,            0.047206,            0.013588,           0.0016501,             0.00901,             0.00901,             0.00901
                  24,            0.047926,            0.018057,           0.0019553,             0.85663,             0.73178,             0.81943,             0.37219,            0.043408,            0.013065,           0.0010335,            0.008965,            0.008965,            0.008965
                  25,            0.047231,            0.018246,             0.00173,             0.85241,             0.73026,             0.81599,             0.37417,            0.043552,            0.013076,            0.001157,             0.00892,             0.00892,             0.00892
                  26,            0.047453,            0.017838,           0.0016947,             0.82591,             0.68391,             0.75851,             0.33176,            0.045406,            0.013563,           0.0011189,            0.008875,            0.008875,            0.008875
                  27,            0.047127,            0.017901,           0.0017425,             0.84245,              0.7178,             0.79797,             0.37507,            0.043571,            0.013277,           0.0011305,             0.00883,             0.00883,             0.00883
                  28,            0.047468,             0.01813,           0.0020658,             0.85399,               0.709,             0.78841,             0.34614,            0.044516,            0.013296,           0.0021106,            0.008785,            0.008785,            0.008785
                  29,            0.046896,            0.017602,           0.0015884,             0.86513,             0.73996,             0.82009,             0.37726,            0.043038,            0.012673,          0.00079543,             0.00874,             0.00874,             0.00874
                  30,            0.046601,             0.01781,           0.0014557,             0.85385,             0.75898,             0.82367,             0.37276,            0.043369,            0.012676,          0.00079156,            0.008695,            0.008695,            0.008695
                  31,            0.046566,            0.017269,           0.0013452,             0.86267,             0.74918,             0.82087,              0.3759,            0.042847,            0.012545,          0.00089621,             0.00865,             0.00865,             0.00865
                  32,            0.046565,            0.017112,           0.0015459,             0.82459,             0.72596,             0.77742,             0.34114,            0.044829,             0.01268,          0.00082688,            0.008605,            0.008605,            0.008605
                  33,            0.046701,            0.017223,           0.0016087,              0.8597,              0.7536,             0.82451,             0.38078,            0.043004,             0.01256,          0.00080377,             0.00856,             0.00856,             0.00856
                  34,            0.046518,            0.017381,           0.0015057,             0.86754,             0.74345,             0.82993,             0.37745,            0.043111,            0.012808,          0.00078266,            0.008515,            0.008515,            0.008515
                  35,            0.046387,            0.017753,           0.0015179,             0.83452,             0.71444,             0.79414,             0.37568,              0.0435,            0.013284,           0.0011266,             0.00847,             0.00847,             0.00847
                  36,            0.046739,            0.017722,           0.0018322,             0.84161,             0.73202,             0.79772,             0.34535,             0.04394,            0.013192,          0.00087198,            0.008425,            0.008425,            0.008425
                  37,            0.046452,            0.017728,           0.0015386,             0.86929,             0.73319,             0.81635,             0.37252,            0.043455,            0.012917,           0.0011733,             0.00838,             0.00838,             0.00838
                  38,            0.046042,            0.017431,           0.0013595,             0.86755,             0.74073,             0.82045,             0.37341,            0.043473,             0.01244,           0.0012197,            0.008335,            0.008335,            0.008335
                  39,            0.046317,              0.0176,           0.0015495,               0.882,             0.73565,             0.82367,             0.37162,              0.0439,            0.012619,           0.0008614,             0.00829,             0.00829,             0.00829
                  40,            0.046481,            0.017395,           0.0014585,             0.82528,             0.72893,              0.7799,             0.35539,            0.043988,             0.01312,          0.00097777,            0.008245,            0.008245,            0.008245
                  41,            0.046061,            0.017335,           0.0015413,             0.87373,             0.74709,             0.83117,             0.37957,             0.04314,              0.0125,          0.00084153,              0.0082,              0.0082,              0.0082
                  42,            0.045936,            0.017312,           0.0013939,             0.87289,             0.75859,             0.83408,             0.39648,            0.042514,            0.012435,          0.00072785,            0.008155,            0.008155,            0.008155
