               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10321,            0.051075,            0.021037,             0.66173,             0.11478,            0.099838,            0.033308,            0.089902,            0.049104,            0.018058,            0.070216,           0.0033094,           0.0033094
                   1,            0.077636,            0.046355,           0.0098671,             0.32202,             0.34903,             0.25481,            0.083545,            0.069311,            0.040841,           0.0094872,            0.040172,           0.0065988,           0.0065988
                   2,            0.066202,            0.040813,           0.0054265,             0.40935,             0.39369,             0.29305,             0.10696,            0.065281,            0.040368,            0.011152,            0.010084,           0.0098443,           0.0098443
                   3,            0.060206,            0.040201,            0.004499,             0.65424,             0.45772,             0.51638,             0.19134,            0.059194,             0.03511,           0.0041495,            0.009802,            0.009802,            0.009802
                   4,            0.055262,            0.038168,           0.0028953,             0.61722,             0.54551,             0.56683,             0.20427,            0.057645,             0.03758,           0.0024027,            0.009802,            0.009802,            0.009802
                   5,            0.052503,            0.036697,           0.0024818,             0.77044,             0.53251,             0.63724,             0.26813,            0.050561,             0.03405,           0.0023548,            0.009736,            0.009736,            0.009736
                   6,            0.051291,            0.038037,           0.0024009,             0.72115,             0.56459,             0.63092,               0.278,            0.049891,            0.034965,            0.002925,             0.00967,             0.00967,             0.00967
                   7,            0.050234,            0.035474,           0.0021194,             0.71402,             0.48872,              0.5357,              0.2539,            0.051382,            0.038697,           0.0078274,            0.009604,            0.009604,            0.009604
                   8,            0.048552,            0.035219,           0.0018843,             0.68934,             0.57851,             0.64234,             0.28892,            0.048853,            0.034108,           0.0033056,            0.009538,            0.009538,            0.009538
                   9,            0.047616,            0.034686,           0.0016124,             0.75514,              0.5671,             0.63759,             0.26265,            0.049671,            0.035159,           0.0027036,            0.009472,            0.009472,            0.009472
                  10,             0.04661,            0.033926,           0.0013488,             0.80753,             0.64274,             0.72318,             0.31977,            0.047884,            0.032068,           0.0016237,            0.009406,            0.009406,            0.009406
                  11,            0.046243,            0.032185,           0.0011719,             0.81497,             0.65175,             0.73769,             0.32441,            0.046644,            0.031411,           0.0015121,             0.00934,             0.00934,             0.00934
                  12,            0.045367,            0.032626,           0.0010773,             0.82809,              0.6691,             0.75928,             0.34533,            0.046028,            0.030654,           0.0010739,            0.009274,            0.009274,            0.009274
                  13,            0.045567,            0.032879,           0.0010899,             0.79777,             0.67438,              0.7546,             0.33547,            0.045885,            0.030765,           0.0014744,            0.009208,            0.009208,            0.009208
