               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10166,            0.058218,            0.020831,             0.13361,             0.41849,             0.11655,            0.031287,            0.083094,            0.075484,            0.014106,            0.070261,           0.0033043,           0.0033043
                   1,            0.070888,            0.050095,           0.0071883,             0.42767,             0.48772,             0.41361,             0.15809,            0.061485,            0.047374,           0.0030518,            0.040195,            0.006572,            0.006572
                   2,            0.063585,            0.046551,           0.0051352,              0.5333,             0.46724,             0.44479,              0.1662,            0.062629,            0.047556,           0.0024613,            0.010063,           0.0097736,           0.0097736
                   3,            0.058338,            0.046208,           0.0045526,             0.73343,              0.5019,             0.56432,              0.2204,            0.055527,            0.052095,           0.0048061,            0.009703,            0.009703,            0.009703
                   4,              0.0546,            0.044627,           0.0035465,             0.78007,             0.59017,             0.68064,             0.29251,            0.049002,            0.039895,           0.0029131,            0.009703,            0.009703,            0.009703
                   5,            0.052047,            0.042893,           0.0028425,             0.75881,              0.5377,              0.6205,              0.2599,             0.04892,            0.039571,           0.0040809,            0.009604,            0.009604,            0.009604
                   6,             0.05077,            0.042188,           0.0025368,             0.78579,             0.64434,             0.71055,             0.30226,            0.048637,            0.036094,            0.002203,            0.009505,            0.009505,            0.009505
                   7,            0.049428,            0.041727,           0.0021542,             0.80872,             0.65173,             0.72956,             0.32594,            0.046523,             0.03552,            0.003687,            0.009406,            0.009406,            0.009406
                   8,            0.048547,            0.041147,           0.0026907,             0.81559,             0.65941,             0.74358,             0.33434,            0.046349,            0.036061,           0.0013623,            0.009307,            0.009307,            0.009307
                   9,            0.047695,            0.041014,           0.0015053,             0.82524,             0.64809,             0.74509,             0.33535,            0.046035,            0.034899,           0.0022899,            0.009208,            0.009208,            0.009208
                  10,            0.047938,            0.040421,           0.0015199,             0.82471,             0.69502,             0.76395,             0.34935,            0.045018,             0.03371,           0.0015553,            0.009109,            0.009109,            0.009109
                  11,            0.046015,            0.039622,           0.0013834,             0.85241,             0.72853,             0.80697,             0.36868,            0.044583,            0.033023,          0.00073513,             0.00901,             0.00901,             0.00901
                  12,            0.046007,             0.03894,           0.0012812,             0.84877,              0.7179,              0.7915,             0.35397,            0.044971,            0.033352,          0.00097014,            0.008911,            0.008911,            0.008911
                  13,            0.045796,            0.037837,           0.0012781,             0.85342,             0.73899,             0.80735,             0.37096,            0.043525,            0.033142,          0.00086172,            0.008812,            0.008812,            0.008812
                  14,            0.045348,            0.039217,           0.0010641,             0.85947,             0.73819,             0.81777,             0.38277,            0.042944,            0.032388,          0.00074048,            0.008713,            0.008713,            0.008713
                  15,            0.045411,            0.038243,            0.001062,             0.82765,             0.70914,             0.79415,             0.36914,            0.044803,            0.032958,           0.0010424,            0.008614,            0.008614,            0.008614
                  16,            0.044551,            0.037507,           0.0011495,             0.82273,             0.73523,             0.79829,              0.3711,            0.044186,            0.032903,            0.001313,            0.008515,            0.008515,            0.008515
                  17,            0.044654,            0.037897,           0.0010743,             0.84149,             0.70893,             0.79068,             0.36591,            0.044442,            0.032933,            0.001073,            0.008416,            0.008416,            0.008416
                  18,            0.044225,             0.03745,           0.0010022,             0.84278,             0.73425,             0.79349,             0.37616,            0.044261,            0.032857,           0.0010844,            0.008317,            0.008317,            0.008317
                  19,             0.04376,            0.037467,          0.00094103,             0.84509,             0.75711,             0.82029,             0.37927,             0.04387,            0.031784,          0.00064951,            0.008218,            0.008218,            0.008218
                  20,            0.043782,            0.038047,           0.0010507,             0.85841,             0.72348,             0.80231,             0.37558,            0.043656,            0.032596,          0.00083544,            0.008119,            0.008119,            0.008119
                  21,            0.043649,             0.03678,          0.00088277,             0.84644,             0.72931,              0.8024,             0.37285,            0.043553,            0.033438,          0.00079918,             0.00802,             0.00802,             0.00802
                  22,            0.043196,            0.037303,          0.00091382,             0.84303,             0.75605,             0.81475,             0.37468,            0.043905,            0.033086,           0.0012968,            0.007921,            0.007921,            0.007921
                  23,             0.04348,            0.036473,          0.00085213,             0.82327,             0.73929,                 0.8,             0.37748,              0.0436,            0.032746,           0.0012132,            0.007822,            0.007822,            0.007822
                  24,            0.043035,            0.036421,          0.00085032,             0.86807,             0.73443,             0.82176,             0.38906,            0.043398,            0.033026,          0.00086983,            0.007723,            0.007723,            0.007723
                  25,             0.04251,            0.036288,          0.00071914,             0.84896,             0.74197,             0.82056,             0.38634,             0.04276,            0.032214,          0.00066752,            0.007624,            0.007624,            0.007624
                  26,            0.042112,             0.03584,          0.00065315,             0.83495,             0.74525,             0.81904,             0.38465,            0.043051,            0.032378,          0.00053327,            0.007525,            0.007525,            0.007525
                  27,             0.04243,            0.035827,          0.00070037,              0.8378,             0.76069,             0.81815,             0.38708,            0.043094,            0.031739,           0.0005973,            0.007426,            0.007426,            0.007426
                  28,            0.042059,            0.035524,           0.0007134,             0.85129,             0.74381,             0.81804,             0.38647,            0.043341,            0.032401,          0.00069272,            0.007327,            0.007327,            0.007327
                  29,            0.041614,            0.036702,          0.00065205,             0.85685,             0.74389,             0.81339,             0.38891,            0.042526,            0.032418,           0.0006086,            0.007228,            0.007228,            0.007228
                  30,            0.041618,            0.036118,          0.00071529,             0.86188,             0.75051,             0.81752,             0.38958,            0.042927,            0.032362,          0.00068797,            0.007129,            0.007129,            0.007129
                  31,            0.041184,            0.035714,          0.00070434,             0.86219,             0.75192,             0.81778,             0.38898,             0.04318,            0.032476,          0.00048528,             0.00703,             0.00703,             0.00703
                  32,            0.041656,            0.035739,          0.00061605,             0.85982,             0.76953,             0.83151,             0.40245,            0.042348,            0.031726,          0.00087864,            0.006931,            0.006931,            0.006931
                  33,            0.041049,            0.034743,          0.00058863,             0.85031,              0.7744,             0.82723,             0.39444,            0.042521,            0.032239,          0.00056331,            0.006832,            0.006832,            0.006832
                  34,            0.041116,             0.03563,          0.00062889,             0.86256,             0.77261,             0.83549,             0.39839,            0.042835,            0.032276,          0.00049062,            0.006733,            0.006733,            0.006733
                  35,            0.040572,            0.035391,          0.00067449,             0.85666,             0.76457,             0.83293,             0.39924,            0.042729,            0.031768,          0.00068419,            0.006634,            0.006634,            0.006634
                  36,            0.040566,            0.034787,          0.00053072,             0.86706,             0.76694,             0.83045,             0.39702,            0.042164,             0.03215,          0.00060328,            0.006535,            0.006535,            0.006535
                  37,            0.040611,            0.034915,          0.00056483,             0.88112,              0.7503,             0.83459,              0.4031,            0.042213,            0.031929,           0.0007017,            0.006436,            0.006436,            0.006436
                  38,            0.040443,            0.034226,          0.00057437,              0.8521,             0.76684,             0.82108,             0.39664,            0.042534,             0.03273,          0.00094416,            0.006337,            0.006337,            0.006337
                  39,            0.040289,            0.034085,          0.00048805,             0.86278,             0.76937,             0.84253,             0.40979,            0.042108,            0.032133,          0.00092815,            0.006238,            0.006238,            0.006238
                  40,            0.039885,            0.034192,          0.00046584,             0.86076,             0.78481,             0.83742,             0.40734,             0.04251,            0.031751,          0.00073173,            0.006139,            0.006139,            0.006139
                  41,            0.039771,            0.033921,           0.0004881,             0.85228,             0.77997,             0.83154,             0.40231,             0.04211,            0.032077,          0.00059606,             0.00604,             0.00604,             0.00604
                  42,            0.039795,             0.03381,          0.00048832,             0.86344,             0.76238,             0.82547,             0.39567,            0.042506,            0.031549,          0.00090035,            0.005941,            0.005941,            0.005941
                  43,            0.039533,            0.033429,          0.00053069,              0.8696,             0.77195,             0.84201,             0.40163,            0.042575,             0.03208,           0.0011434,            0.005842,            0.005842,            0.005842
                  44,            0.039365,            0.034235,          0.00048337,             0.85983,             0.76976,             0.82881,              0.4003,            0.042815,            0.032086,           0.0010237,            0.005743,            0.005743,            0.005743
                  45,            0.039411,            0.033336,          0.00047183,             0.86119,             0.76115,             0.83008,             0.40057,            0.043042,            0.032449,          0.00066048,            0.005644,            0.005644,            0.005644
                  46,            0.039092,             0.03384,          0.00050969,             0.85795,             0.78872,             0.84373,             0.40464,            0.042649,            0.031556,           0.0006476,            0.005545,            0.005545,            0.005545
                  47,            0.038745,             0.03315,          0.00033688,             0.86735,             0.75581,             0.83226,             0.40896,            0.042267,            0.032288,          0.00078238,            0.005446,            0.005446,            0.005446
                  48,            0.038684,            0.033391,          0.00051434,             0.87131,             0.77706,             0.83962,             0.41289,            0.041942,            0.031936,          0.00047309,            0.005347,            0.005347,            0.005347
                  49,            0.038771,            0.034117,          0.00052369,             0.86732,             0.75573,             0.82941,             0.40564,            0.042581,            0.032294,          0.00062449,            0.005248,            0.005248,            0.005248
                  50,             0.03882,            0.032712,          0.00048226,             0.88949,             0.75841,             0.83693,             0.40668,            0.042456,            0.032491,          0.00046867,            0.005149,            0.005149,            0.005149
                  51,            0.038258,             0.03302,          0.00035798,             0.86552,             0.75803,             0.83416,             0.41219,            0.042112,            0.032513,          0.00050993,             0.00505,             0.00505,             0.00505
                  52,            0.038125,            0.033167,          0.00035483,             0.87671,             0.77766,              0.8477,             0.41197,            0.042291,            0.031588,          0.00061688,            0.004951,            0.004951,            0.004951
                  53,            0.038389,            0.033009,          0.00036799,             0.87773,             0.77026,             0.83884,             0.41072,            0.042055,            0.031844,          0.00055562,            0.004852,            0.004852,            0.004852
                  54,            0.038112,            0.032445,          0.00037648,             0.87517,             0.76251,             0.83418,             0.40848,            0.042016,            0.032053,          0.00066437,            0.004753,            0.004753,            0.004753
                  55,            0.037904,            0.032835,          0.00036934,             0.87227,             0.78559,             0.84039,             0.41742,            0.041585,            0.031785,          0.00066144,            0.004654,            0.004654,            0.004654
                  56,            0.037922,            0.032843,            0.000369,             0.87297,             0.77554,             0.84228,             0.40978,            0.042626,            0.032466,          0.00053665,            0.004555,            0.004555,            0.004555
                  57,            0.037447,            0.032783,          0.00032296,              0.8718,             0.77358,             0.84341,             0.41191,            0.041855,            0.032631,          0.00050939,            0.004456,            0.004456,            0.004456
                  58,            0.037638,            0.031886,          0.00031988,             0.87235,              0.7679,             0.84233,             0.41009,            0.041796,            0.032077,          0.00050842,            0.004357,            0.004357,            0.004357
                  59,            0.037287,            0.031781,          0.00031112,             0.87594,             0.77716,             0.84022,             0.40935,            0.042412,            0.032597,          0.00048475,            0.004258,            0.004258,            0.004258
                  60,            0.037469,            0.032165,          0.00030738,               0.859,             0.77324,             0.82996,              0.4091,            0.041991,             0.03225,          0.00050724,            0.004159,            0.004159,            0.004159
                  61,            0.037252,            0.032027,          0.00032555,             0.88214,             0.76719,             0.84117,             0.40721,             0.04203,            0.032015,          0.00053521,             0.00406,             0.00406,             0.00406
                  62,            0.037041,            0.031749,          0.00030889,             0.86769,             0.78246,             0.83858,             0.40766,            0.042332,             0.03231,          0.00041164,            0.003961,            0.003961,            0.003961
                  63,            0.036701,            0.031182,           0.0003245,             0.86131,             0.78246,             0.84268,             0.41242,            0.041995,            0.032341,           0.0006751,            0.003862,            0.003862,            0.003862
                  64,            0.036716,            0.031432,          0.00029404,             0.87165,              0.7788,             0.84448,             0.41146,            0.041858,            0.032389,          0.00052873,            0.003763,            0.003763,            0.003763
                  65,            0.036715,            0.031407,          0.00027732,             0.88679,             0.77172,             0.84239,             0.41754,            0.042077,            0.032013,          0.00058219,            0.003664,            0.003664,            0.003664
                  66,             0.03655,             0.03204,          0.00025786,              0.8614,             0.77515,             0.82724,             0.40728,            0.042697,            0.032709,          0.00058912,            0.003565,            0.003565,            0.003565
                  67,            0.036334,            0.030893,          0.00030578,             0.87317,             0.77405,              0.8411,             0.41163,            0.042306,             0.03248,          0.00053847,            0.003466,            0.003466,            0.003466
                  68,            0.035991,            0.031302,          0.00021181,             0.86151,             0.78304,             0.83742,             0.41511,            0.042138,            0.032619,          0.00053604,            0.003367,            0.003367,            0.003367
                  69,            0.036225,            0.031461,          0.00024937,             0.87093,             0.78535,             0.84178,             0.41249,            0.041939,            0.032618,          0.00067972,            0.003268,            0.003268,            0.003268
                  70,            0.035986,            0.030708,          0.00027872,             0.83926,              0.7891,             0.83714,             0.40959,             0.04231,            0.032394,          0.00074682,            0.003169,            0.003169,            0.003169
                  71,            0.035788,            0.030133,          0.00025903,             0.86538,             0.77785,              0.8338,             0.40195,            0.042575,            0.032697,          0.00054583,             0.00307,             0.00307,             0.00307
                  72,            0.035997,            0.030387,          0.00027999,              0.8668,             0.77287,              0.8326,             0.40823,             0.04242,            0.033075,           0.0006243,            0.002971,            0.002971,            0.002971
                  73,            0.035518,            0.030429,          0.00022953,             0.86924,             0.77531,             0.83511,             0.40774,            0.041957,            0.032493,          0.00074712,            0.002872,            0.002872,            0.002872
                  74,            0.035497,            0.030487,          0.00028034,             0.89389,              0.7621,             0.84014,              0.4068,            0.042335,            0.033122,          0.00048254,            0.002773,            0.002773,            0.002773
                  75,            0.035156,            0.030273,          0.00025286,             0.86051,             0.78331,             0.83947,             0.41319,            0.042195,            0.033062,          0.00061562,            0.002674,            0.002674,            0.002674
                  76,             0.03521,            0.030316,          0.00025685,             0.87753,             0.75651,             0.83225,             0.40904,            0.042224,            0.033105,          0.00055962,            0.002575,            0.002575,            0.002575
                  77,            0.035068,            0.030109,           0.0002102,             0.85306,             0.77619,             0.82735,             0.40933,            0.042179,            0.033042,          0.00065152,            0.002476,            0.002476,            0.002476
                  78,            0.034882,            0.029897,          0.00023193,             0.86573,             0.77101,             0.83835,             0.41384,            0.042183,            0.032693,          0.00059944,            0.002377,            0.002377,            0.002377
                  79,            0.034688,            0.029658,           0.0002245,             0.87279,             0.76254,             0.82598,             0.40817,            0.042443,            0.033498,          0.00061634,            0.002278,            0.002278,            0.002278
                  80,             0.03455,            0.030113,          0.00023824,              0.8808,             0.76344,             0.83094,             0.41334,            0.042419,            0.033812,          0.00050106,            0.002179,            0.002179,            0.002179
                  81,            0.034525,            0.029346,          0.00016731,             0.87991,             0.76635,             0.83125,             0.41001,            0.042547,            0.033324,          0.00067075,             0.00208,             0.00208,             0.00208
