               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10099,            0.061807,            0.020912,              0.2802,             0.22555,             0.14116,            0.040374,            0.077234,            0.087579,            0.015624,            0.070326,           0.0032971,           0.0032971
                   1,            0.071801,            0.052379,           0.0070935,             0.52015,             0.44683,              0.4407,             0.15549,            0.059716,            0.057541,           0.0065875,            0.040195,           0.0064992,           0.0064992
                   2,            0.061803,            0.048356,           0.0049567,             0.64383,             0.45153,             0.48714,             0.19018,            0.057439,            0.044912,            0.014724,           0.0099315,           0.0095692,           0.0095692
                   3,            0.055858,            0.047833,           0.0042429,             0.72574,             0.59998,             0.66757,             0.29027,            0.049184,             0.04305,           0.0053979,            0.009406,            0.009406,            0.009406
                   4,            0.052518,            0.046165,           0.0033842,             0.57897,             0.50936,             0.50438,             0.18571,            0.055439,             0.04358,           0.0053885,            0.009406,            0.009406,            0.009406
                   5,             0.05055,            0.045589,           0.0025822,             0.81362,             0.65341,             0.74359,              0.3376,            0.047311,            0.036484,           0.0019221,            0.009208,            0.009208,            0.009208
                   6,            0.049009,            0.043318,           0.0022971,             0.79811,             0.67513,             0.75754,             0.33943,             0.04696,            0.034477,           0.0028644,             0.00901,             0.00901,             0.00901
                   7,            0.047915,            0.043764,           0.0020881,             0.83619,             0.68886,             0.77232,             0.35595,            0.045039,            0.033158,           0.0017263,            0.008812,            0.008812,            0.008812
                   8,            0.047555,            0.042418,           0.0017617,             0.82929,             0.69699,             0.79258,             0.37006,            0.044152,            0.033482,            0.002015,            0.008614,            0.008614,            0.008614
                   9,            0.046853,            0.041575,           0.0015339,             0.85701,             0.73824,             0.82156,             0.38186,            0.043858,            0.031918,            0.001309,            0.008416,            0.008416,            0.008416
                  10,            0.046208,            0.040928,           0.0015141,             0.87906,             0.73808,             0.82322,             0.38504,            0.043408,            0.031853,           0.0012689,            0.008218,            0.008218,            0.008218
                  11,            0.045929,            0.040662,           0.0012957,             0.86509,              0.7065,             0.79659,             0.37731,            0.043393,            0.034315,            0.001547,             0.00802,             0.00802,             0.00802
                  12,            0.045399,            0.041386,           0.0012327,             0.87335,             0.74435,             0.82708,             0.39862,            0.042916,            0.032216,           0.0010839,            0.007822,            0.007822,            0.007822
                  13,            0.045235,            0.040622,           0.0012285,             0.88298,             0.74872,             0.83945,             0.40058,            0.042211,            0.031142,          0.00097895,            0.007624,            0.007624,            0.007624
                  14,            0.044834,             0.03992,           0.0011311,              0.8602,             0.72749,             0.81569,             0.38368,            0.043272,            0.031727,           0.0010432,            0.007426,            0.007426,            0.007426
                  15,            0.044369,            0.039587,           0.0011649,             0.85838,             0.74379,             0.82718,             0.39012,             0.04342,            0.031775,           0.0013261,            0.007228,            0.007228,            0.007228
                  16,            0.044356,            0.039868,          0.00096572,             0.86941,             0.75884,             0.83339,             0.39636,            0.042208,            0.030736,          0.00077061,             0.00703,             0.00703,             0.00703
                  17,            0.043937,            0.038032,          0.00095862,             0.89306,             0.74807,             0.84056,             0.40478,            0.042239,            0.030866,          0.00094766,            0.006832,            0.006832,            0.006832
                  18,            0.043431,            0.039391,          0.00092336,             0.87704,             0.76797,             0.84508,             0.40875,            0.042012,            0.030589,          0.00064747,            0.006634,            0.006634,            0.006634
                  19,            0.043281,            0.039076,           0.0010011,              0.8769,             0.73376,             0.82599,             0.39749,            0.042519,            0.031642,           0.0010449,            0.006436,            0.006436,            0.006436
                  20,            0.042877,             0.03891,            0.001045,             0.85582,             0.75935,             0.83583,             0.40559,             0.04209,            0.031264,          0.00082975,            0.006238,            0.006238,            0.006238
                  21,            0.042776,            0.038886,          0.00090068,             0.87412,             0.76374,                0.84,             0.40392,            0.042517,            0.031433,           0.0011689,             0.00604,             0.00604,             0.00604
                  22,            0.042977,            0.038527,          0.00086386,              0.8925,             0.76551,             0.85139,             0.42297,            0.040946,            0.030232,          0.00091585,            0.005842,            0.005842,            0.005842
                  23,            0.042525,            0.038637,          0.00081811,             0.88281,             0.77855,             0.84844,             0.41306,            0.041787,            0.030337,          0.00072556,            0.005644,            0.005644,            0.005644
                  24,            0.042156,            0.038178,          0.00080454,             0.86479,             0.75978,             0.83242,             0.40804,             0.04138,            0.030712,           0.0023547,            0.005446,            0.005446,            0.005446
                  25,            0.041994,            0.037927,          0.00070383,             0.87892,             0.77707,             0.84621,             0.41066,             0.04144,            0.030577,          0.00072274,            0.005248,            0.005248,            0.005248
                  26,            0.042071,            0.036832,          0.00072884,             0.88838,             0.77543,               0.851,             0.42347,            0.040668,            0.030385,          0.00062174,             0.00505,             0.00505,             0.00505
                  27,            0.041581,            0.038257,          0.00067923,             0.87792,             0.78396,             0.85284,             0.42712,            0.040777,            0.030224,          0.00059792,            0.004852,            0.004852,            0.004852
                  28,            0.041584,            0.037562,          0.00066361,              0.8712,             0.78725,             0.85537,             0.42426,            0.040836,            0.030048,          0.00064168,            0.004654,            0.004654,            0.004654
                  29,            0.041415,             0.03724,          0.00068082,              0.8903,             0.76046,             0.85293,             0.42662,             0.04071,            0.030244,          0.00070552,            0.004456,            0.004456,            0.004456
                  30,            0.040816,            0.036643,          0.00061914,              0.8768,             0.78698,             0.85039,             0.43013,            0.040366,            0.030333,          0.00090958,            0.004258,            0.004258,            0.004258
                  31,            0.040717,            0.036669,          0.00064861,             0.89407,             0.77572,              0.8563,             0.42962,            0.040258,            0.029964,          0.00056004,             0.00406,             0.00406,             0.00406
                  32,            0.040841,            0.037023,          0.00055963,             0.88185,             0.78293,             0.85942,             0.43267,            0.040211,            0.030084,          0.00063827,            0.003862,            0.003862,            0.003862
                  33,            0.040389,            0.036279,          0.00059412,             0.88168,             0.77505,             0.84456,             0.42587,            0.040469,            0.030631,          0.00058133,            0.003664,            0.003664,            0.003664
                  34,            0.040268,            0.036756,          0.00048892,             0.86999,             0.79418,             0.85335,             0.42671,            0.040341,            0.030467,          0.00070105,            0.003466,            0.003466,            0.003466
                  35,            0.040108,            0.036342,          0.00047609,             0.88318,             0.79123,             0.86297,             0.43809,            0.040072,            0.029969,          0.00065322,            0.003268,            0.003268,            0.003268
                  36,             0.03957,            0.035241,          0.00049683,              0.8792,             0.78281,             0.85571,             0.43453,            0.040611,            0.030369,          0.00062646,             0.00307,             0.00307,             0.00307
                  37,            0.039616,             0.03635,           0.0004902,             0.87644,             0.78783,             0.85794,             0.43562,            0.040299,            0.030085,          0.00064328,            0.002872,            0.002872,            0.002872
                  38,            0.039492,            0.036097,          0.00047813,             0.87821,             0.79328,              0.8588,             0.43396,             0.04012,            0.030254,          0.00065494,            0.002674,            0.002674,            0.002674
                  39,            0.039563,            0.035503,          0.00040429,             0.89276,             0.78102,             0.85851,             0.43471,            0.040125,            0.029942,          0.00083107,            0.002476,            0.002476,            0.002476
                  40,            0.039277,            0.035386,          0.00044067,             0.88845,               0.794,             0.86279,             0.43675,            0.039964,            0.030138,          0.00057326,            0.002278,            0.002278,            0.002278
