               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10263,            0.057762,            0.021252,             0.13282,             0.43102,            0.084783,             0.02314,             0.08525,            0.074272,            0.020948,            0.070423,           0.0032864,           0.0032864
                   1,            0.073925,             0.05071,           0.0079277,              0.2796,             0.35162,             0.23089,             0.08552,            0.070363,             0.06229,            0.009833,            0.040357,           0.0065542,           0.0065542
                   2,             0.06372,            0.046014,           0.0048156,              0.3276,             0.24527,             0.17483,            0.071921,            0.068794,            0.058305,            0.017342,            0.010225,            0.009756,            0.009756
                   3,            0.057748,            0.046023,            0.004763,             0.55261,             0.38271,             0.41616,             0.14655,            0.056779,            0.064334,           0.0067904,            0.009703,            0.009703,            0.009703
                   4,             0.05389,            0.044724,           0.0038395,             0.66851,             0.43468,              0.5097,               0.218,            0.049265,            0.043423,            0.013213,            0.009703,            0.009703,            0.009703
                   5,            0.051346,            0.042785,           0.0029136,              0.5663,             0.49638,             0.51539,             0.21024,            0.052004,            0.066248,           0.0062523,            0.009604,            0.009604,            0.009604
                   6,            0.049724,            0.041278,           0.0021869,             0.77578,             0.68135,             0.74649,             0.32989,             0.04827,            0.035423,             0.00132,            0.009505,            0.009505,            0.009505
                   7,            0.048723,            0.041206,           0.0019741,             0.82167,             0.69199,             0.76748,             0.34529,            0.045671,            0.033873,           0.0011939,            0.009406,            0.009406,            0.009406
                   8,            0.047752,             0.03915,           0.0016775,              0.8361,             0.69957,             0.77601,             0.32907,            0.046881,            0.033795,           0.0018131,            0.009307,            0.009307,            0.009307
                   9,            0.047119,            0.039319,           0.0014001,              0.8111,             0.65354,             0.73282,             0.33349,            0.045715,            0.034941,           0.0014063,            0.009208,            0.009208,            0.009208
                  10,            0.046821,            0.039534,           0.0012538,             0.82428,             0.66609,             0.74972,             0.33916,            0.046319,            0.035324,           0.0019547,            0.009109,            0.009109,            0.009109
                  11,            0.045726,            0.039879,           0.0018624,              0.7928,             0.68367,              0.7527,             0.33806,            0.046336,            0.034261,           0.0013626,             0.00901,             0.00901,             0.00901
                  12,            0.046233,            0.037948,           0.0013852,             0.82253,             0.68853,              0.7716,             0.35839,            0.045001,            0.034593,           0.0018661,            0.008911,            0.008911,            0.008911
                  13,            0.045865,            0.037881,           0.0012548,             0.85506,             0.74453,             0.80545,             0.36771,            0.043671,            0.032837,           0.0010073,            0.008812,            0.008812,            0.008812
                  14,            0.045588,            0.038715,           0.0010356,             0.81033,             0.76113,              0.8129,             0.37858,            0.043906,            0.032811,           0.0010307,            0.008713,            0.008713,            0.008713
                  15,             0.04455,             0.03756,           0.0012289,             0.81928,             0.69124,              0.7733,             0.35402,            0.044895,            0.033157,           0.0021537,            0.008614,            0.008614,            0.008614
                  16,            0.044624,            0.037199,           0.0011217,              0.8559,             0.73857,             0.81251,             0.37046,            0.043664,            0.032383,           0.0008118,            0.008515,            0.008515,            0.008515
                  17,            0.044076,            0.036897,          0.00093042,             0.83387,             0.73382,             0.81143,              0.3791,            0.043188,            0.032408,          0.00086732,            0.008416,            0.008416,            0.008416
                  18,             0.04391,            0.036376,           0.0010612,             0.83587,             0.73552,             0.79928,             0.37284,            0.043359,             0.03292,          0.00081264,            0.008317,            0.008317,            0.008317
                  19,            0.043566,             0.03661,          0.00080424,             0.81441,              0.7353,             0.79828,             0.36357,            0.044838,            0.032567,           0.0023212,            0.008218,            0.008218,            0.008218
                  20,            0.043345,            0.037009,          0.00086373,             0.86625,             0.75142,             0.82877,             0.39418,             0.04262,             0.03194,          0.00054101,            0.008119,            0.008119,            0.008119
                  21,            0.043423,            0.036149,          0.00074242,             0.85999,             0.73692,             0.81332,             0.38608,            0.043157,            0.032647,          0.00072305,             0.00802,             0.00802,             0.00802
                  22,            0.042786,            0.036944,          0.00064991,             0.85184,             0.76411,             0.83517,             0.39336,            0.042608,            0.031726,           0.0010384,            0.007921,            0.007921,            0.007921
                  23,             0.04266,            0.035322,          0.00069176,             0.86269,             0.73601,             0.81392,             0.38601,            0.043372,            0.032093,          0.00059711,            0.007822,            0.007822,            0.007822
                  24,            0.042392,            0.035708,          0.00073181,             0.84502,             0.70009,             0.78776,             0.37101,            0.043746,            0.032898,           0.0037379,            0.007723,            0.007723,            0.007723
                  25,            0.041917,            0.035916,          0.00064162,             0.82267,             0.73313,             0.79046,             0.36775,            0.043616,            0.032744,          0.00089697,            0.007624,            0.007624,            0.007624
                  26,            0.041909,            0.034699,          0.00065516,             0.84036,             0.76043,             0.82539,             0.39849,            0.042312,            0.032402,          0.00082891,            0.007525,            0.007525,            0.007525
                  27,            0.041828,            0.035015,          0.00067324,             0.86292,              0.7538,             0.82283,             0.40136,            0.042504,            0.032537,           0.0006532,            0.007426,            0.007426,            0.007426
                  28,            0.041775,            0.035042,          0.00064379,             0.84367,             0.74496,             0.82235,             0.39022,            0.042733,            0.032092,          0.00063025,            0.007327,            0.007327,            0.007327
                  29,            0.041711,            0.035425,          0.00071958,             0.83874,             0.74619,             0.80477,             0.37288,             0.04383,            0.032776,          0.00082643,            0.007228,            0.007228,            0.007228
                  30,            0.041136,            0.035506,          0.00058061,             0.85801,             0.76303,             0.83023,             0.40009,            0.042285,            0.031991,          0.00064648,            0.007129,            0.007129,            0.007129
                  31,            0.041146,            0.035158,          0.00066837,             0.83102,             0.75504,             0.80661,             0.38634,            0.042937,            0.032491,          0.00099204,             0.00703,             0.00703,             0.00703
