               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10027,            0.058997,            0.020527,             0.25443,             0.33001,             0.19147,            0.055921,            0.072971,            0.077333,            0.011015,            0.070326,           0.0032971,           0.0032971
                   1,            0.071047,             0.04949,            0.006902,             0.45131,             0.47741,             0.40062,              0.1451,            0.060919,              0.0458,           0.0051906,             0.04026,           0.0065648,           0.0065648
                   2,            0.061682,            0.044815,           0.0044782,             0.70786,             0.46844,             0.52726,             0.21695,            0.056879,              0.0394,            0.012073,            0.010129,           0.0097665,           0.0097665
                   3,            0.055281,            0.044847,           0.0041934,              0.6466,               0.531,             0.59372,             0.24497,            0.050587,              0.0525,            0.007973,            0.009703,            0.009703,            0.009703
                   4,            0.052071,            0.043396,           0.0031431,             0.70584,             0.60017,             0.67292,             0.28734,            0.049092,            0.045788,           0.0027877,            0.009703,            0.009703,            0.009703
                   5,             0.05006,            0.042469,            0.002505,             0.78232,              0.6455,              0.7209,             0.33611,            0.047244,            0.034846,           0.0027553,            0.009604,            0.009604,            0.009604
                   6,            0.048342,            0.040022,           0.0019346,             0.83709,             0.69745,             0.78454,             0.34956,            0.045974,            0.031012,           0.0017381,            0.009505,            0.009505,            0.009505
                   7,            0.047377,            0.040548,           0.0018645,             0.82159,             0.72655,             0.80612,             0.37913,            0.043523,            0.030462,           0.0021259,            0.009406,            0.009406,            0.009406
                   8,            0.046777,            0.039201,           0.0014285,             0.84778,             0.75894,             0.83294,             0.39041,            0.043106,            0.029404,           0.0013542,            0.009307,            0.009307,            0.009307
                   9,            0.046214,            0.038684,           0.0014728,             0.85125,             0.72791,             0.81373,              0.3731,            0.044569,             0.02987,            0.001186,            0.009208,            0.009208,            0.009208
                  10,            0.045817,            0.038097,           0.0013173,              0.8484,             0.76398,             0.83815,             0.40608,             0.04311,             0.03006,           0.0010523,            0.009109,            0.009109,            0.009109
                  11,            0.045458,            0.037725,           0.0011873,              0.8527,             0.75633,             0.83228,             0.40089,             0.04284,            0.028994,           0.0012795,             0.00901,             0.00901,             0.00901
                  12,            0.044933,            0.038244,           0.0011529,             0.86329,             0.76081,             0.84423,             0.40358,            0.042824,            0.029301,          0.00083185,            0.008911,            0.008911,            0.008911
                  13,            0.044697,            0.037481,           0.0010372,             0.88115,             0.77172,             0.85512,             0.41395,            0.041826,            0.028996,          0.00080246,            0.008812,            0.008812,            0.008812
                  14,             0.04432,             0.03688,          0.00097001,             0.85754,             0.73784,             0.82481,              0.3889,            0.042983,             0.02975,          0.00089455,            0.008713,            0.008713,            0.008713
                  15,            0.043879,            0.036654,          0.00095416,             0.85027,             0.77955,             0.84951,             0.41989,            0.042143,             0.02845,          0.00065572,            0.008614,            0.008614,            0.008614
                  16,             0.04393,            0.037022,          0.00090713,             0.85477,             0.78126,              0.8485,             0.40731,            0.041852,            0.028168,          0.00093714,            0.008515,            0.008515,            0.008515
                  17,            0.043743,            0.035386,          0.00088256,             0.86127,             0.79439,             0.85801,             0.41879,            0.042161,            0.028821,          0.00079129,            0.008416,            0.008416,            0.008416
                  18,            0.043125,            0.036607,          0.00088804,             0.83734,             0.78325,             0.83874,             0.40803,            0.042144,            0.028572,          0.00086315,            0.008317,            0.008317,            0.008317
                  19,            0.043224,            0.036466,           0.0010107,             0.86207,             0.77005,             0.84262,             0.41075,            0.042315,            0.029716,          0.00080812,            0.008218,            0.008218,            0.008218
                  20,            0.042861,            0.036121,          0.00087362,             0.87632,             0.79552,             0.86787,             0.43303,            0.040497,            0.027777,          0.00085965,            0.008119,            0.008119,            0.008119
                  21,            0.042399,            0.035858,          0.00080838,             0.86967,             0.80148,             0.87127,             0.42798,             0.04159,            0.027994,          0.00090591,             0.00802,             0.00802,             0.00802
                  22,            0.043045,             0.03623,          0.00096657,             0.86607,             0.78472,             0.86057,             0.42627,            0.040954,             0.02857,          0.00094899,            0.007921,            0.007921,            0.007921
                  23,            0.042399,            0.035962,          0.00066021,             0.88571,             0.79782,             0.87265,             0.43506,            0.040593,            0.027501,          0.00077442,            0.007822,            0.007822,            0.007822
                  24,            0.042029,            0.035563,          0.00076012,              0.8557,             0.78986,             0.85516,              0.4253,            0.040976,            0.028771,           0.0018307,            0.007723,            0.007723,            0.007723
                  25,            0.041987,            0.035374,          0.00076842,             0.86217,             0.79618,             0.86359,             0.42681,            0.040717,            0.027888,           0.0012971,            0.007624,            0.007624,            0.007624
                  26,            0.042174,            0.034593,          0.00082919,              0.8766,             0.80244,             0.87248,             0.43966,            0.040092,            0.027195,          0.00066581,            0.007525,            0.007525,            0.007525
                  27,            0.041696,            0.035703,          0.00062013,             0.86561,             0.81605,              0.8758,             0.44238,            0.040308,            0.027786,          0.00047341,            0.007426,            0.007426,            0.007426
                  28,            0.041668,            0.035068,          0.00066105,             0.86544,             0.79688,             0.86626,             0.44036,            0.040157,            0.027389,          0.00090722,            0.007327,            0.007327,            0.007327
                  29,            0.041679,            0.034865,          0.00065676,             0.87542,             0.79625,             0.86942,             0.43818,            0.040401,            0.027578,           0.0012171,            0.007228,            0.007228,            0.007228
                  30,            0.041053,            0.034328,          0.00053824,             0.87221,             0.80092,             0.87167,             0.44583,            0.040084,            0.027909,           0.0010015,            0.007129,            0.007129,            0.007129
                  31,            0.040944,            0.034328,           0.0007007,             0.87476,             0.81062,             0.87679,             0.44455,            0.039841,            0.027397,          0.00073922,             0.00703,             0.00703,             0.00703
                  32,            0.041079,            0.034841,          0.00065094,             0.86977,             0.82475,             0.87817,             0.44444,            0.039755,            0.027589,          0.00057402,            0.006931,            0.006931,            0.006931
                  33,            0.040667,            0.034121,          0.00059186,             0.87415,             0.80784,             0.86678,             0.43784,            0.040157,            0.027564,          0.00065744,            0.006832,            0.006832,            0.006832
                  34,            0.040624,            0.034614,           0.0005101,              0.8653,             0.80706,             0.86668,             0.44041,            0.039875,            0.027767,          0.00088066,            0.006733,            0.006733,            0.006733
                  35,            0.040528,            0.034122,          0.00055512,             0.85325,             0.81867,             0.87595,             0.44598,            0.039909,            0.027898,          0.00074226,            0.006634,            0.006634,            0.006634
                  36,            0.039948,            0.033313,          0.00051587,               0.874,             0.81454,             0.87694,             0.44492,            0.040115,            0.027671,          0.00064489,            0.006535,            0.006535,            0.006535
                  37,             0.04012,            0.034201,          0.00049519,             0.86165,             0.82631,             0.87464,             0.44528,            0.039835,            0.027337,          0.00057864,            0.006436,            0.006436,            0.006436
                  38,            0.039943,            0.034073,          0.00051012,             0.86893,              0.8265,             0.88475,             0.45149,             0.03952,            0.027463,          0.00045584,            0.006337,            0.006337,            0.006337
                  39,            0.040208,            0.033814,          0.00044159,             0.87053,             0.79655,             0.86991,             0.44286,             0.03995,            0.027928,          0.00082019,            0.006238,            0.006238,            0.006238
                  40,            0.039907,            0.033543,          0.00045255,             0.88312,             0.82086,             0.88449,             0.45286,            0.039745,            0.027197,          0.00046192,            0.006139,            0.006139,            0.006139
                  41,            0.039681,            0.033433,          0.00045446,             0.86532,             0.82572,             0.87663,             0.44767,            0.039784,            0.027691,          0.00047511,             0.00604,             0.00604,             0.00604
