               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086346,             0.08778,            0.021779,             0.32216,              0.3611,             0.25047,            0.086222,            0.064219,            0.059148,           0.0095167,            0.070098,           0.0033225,           0.0033225
                   1,            0.063681,            0.066163,           0.0079855,             0.44838,             0.39225,             0.32946,             0.12682,            0.059875,            0.061743,            0.010081,            0.040032,           0.0065899,           0.0065899
                   2,            0.058105,            0.062239,           0.0061196,             0.75102,             0.48867,             0.56569,             0.23051,            0.054249,            0.055772,           0.0049559,           0.0098999,           0.0097914,           0.0097914
                   3,            0.053523,            0.060378,           0.0047137,             0.71297,             0.47625,             0.53402,             0.22084,            0.053045,            0.061585,             0.01072,            0.009703,            0.009703,            0.009703
                   4,            0.050616,            0.058928,           0.0040544,             0.82776,             0.69109,             0.76496,             0.32992,            0.046741,            0.046587,           0.0026313,            0.009703,            0.009703,            0.009703
                   5,            0.048391,            0.056621,           0.0030431,             0.79933,               0.658,             0.72733,             0.28955,            0.049637,            0.047212,           0.0020023,            0.009604,            0.009604,            0.009604
                   6,            0.047283,            0.054272,            0.002544,             0.83147,               0.733,             0.79008,             0.34562,            0.044589,            0.044376,           0.0016439,            0.009505,            0.009505,            0.009505
                   7,            0.045888,             0.05437,           0.0022668,              0.8413,             0.75285,             0.82038,             0.37349,            0.043751,            0.043285,           0.0024473,            0.009406,            0.009406,            0.009406
                   8,            0.045464,            0.053061,           0.0021872,             0.77518,              0.7064,             0.75453,              0.3064,            0.046362,            0.047048,            0.002211,            0.009307,            0.009307,            0.009307
                   9,            0.044739,            0.052392,           0.0019001,             0.82125,             0.74401,             0.80802,             0.37597,            0.044514,            0.044159,           0.0015122,            0.009208,            0.009208,            0.009208
                  10,            0.044012,            0.052383,             0.00159,             0.85406,             0.74626,             0.82297,             0.37492,            0.043823,            0.043737,           0.0012509,            0.009109,            0.009109,            0.009109
