               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10166,            0.058218,            0.020831,             0.13361,             0.41849,             0.11655,            0.031287,            0.083094,            0.075484,            0.014106,            0.070261,           0.0033043,           0.0033043
                   1,            0.070991,            0.050025,           0.0069925,               0.351,             0.44084,             0.31676,              0.1045,            0.070653,            0.045676,           0.0034546,            0.040217,           0.0065939,           0.0065939
                   2,            0.063662,            0.046832,           0.0051502,             0.56367,             0.43663,             0.46842,             0.16268,            0.060968,            0.048018,           0.0051024,            0.010129,           0.0098394,           0.0098394
                   3,            0.058208,            0.045828,           0.0042897,              0.7284,             0.52152,             0.59461,             0.25268,            0.055691,            0.041077,           0.0026132,            0.009802,            0.009802,            0.009802
                   4,            0.054176,            0.044531,           0.0034406,             0.71542,              0.5281,             0.59935,             0.25785,            0.050642,            0.044305,           0.0070189,            0.009802,            0.009802,            0.009802
                   5,            0.052231,            0.042878,           0.0027285,             0.79233,              0.6377,             0.70176,             0.30271,            0.047701,             0.03598,           0.0025627,            0.009736,            0.009736,            0.009736
                   6,            0.050979,            0.041784,           0.0024874,             0.60564,             0.49575,             0.53706,             0.23038,            0.048965,            0.042264,           0.0016254,             0.00967,             0.00967,             0.00967
                   7,            0.049325,            0.041821,           0.0021546,             0.82339,             0.63297,             0.72968,             0.33007,            0.046547,            0.035823,            0.004388,            0.009604,            0.009604,            0.009604
                   8,            0.048669,            0.040778,           0.0022719,             0.83896,             0.70045,             0.78158,              0.3468,            0.046287,            0.034369,           0.0013857,            0.009538,            0.009538,            0.009538
                   9,             0.04777,            0.040826,           0.0014222,              0.8351,             0.71622,              0.7885,             0.35347,            0.045956,             0.03341,           0.0010652,            0.009472,            0.009472,            0.009472
                  10,            0.047751,            0.040319,           0.0015237,             0.83824,             0.70251,             0.77997,              0.3579,            0.044378,            0.033202,           0.0030307,            0.009406,            0.009406,            0.009406
                  11,            0.046144,             0.03964,           0.0013722,             0.83791,              0.7357,              0.8097,               0.369,            0.044835,            0.032877,          0.00071403,             0.00934,             0.00934,             0.00934
                  12,            0.045958,            0.038817,           0.0013143,             0.81751,             0.73079,             0.78872,             0.35316,            0.045635,            0.033507,          0.00090625,            0.009274,            0.009274,            0.009274
                  13,             0.04596,            0.038159,           0.0014773,             0.78572,             0.71043,             0.76001,             0.33504,             0.04607,            0.033383,           0.0010656,            0.009208,            0.009208,            0.009208
                  14,             0.04558,            0.039363,           0.0011867,             0.81162,             0.76125,             0.80978,             0.36644,             0.04339,            0.033027,          0.00071536,            0.009142,            0.009142,            0.009142
                  15,            0.045444,            0.038283,           0.0010509,             0.84219,             0.69514,             0.78805,             0.35815,            0.045491,            0.033646,           0.0009043,            0.009076,            0.009076,            0.009076
                  16,            0.044679,            0.037597,           0.0012015,             0.84276,             0.68086,             0.77064,             0.35499,            0.044884,            0.034637,           0.0014513,             0.00901,             0.00901,             0.00901
                  17,            0.044588,            0.037981,           0.0010619,             0.83205,             0.72112,             0.80445,             0.37257,            0.044009,            0.032679,          0.00080616,            0.008944,            0.008944,            0.008944
                  18,             0.04447,            0.037727,           0.0011963,             0.80835,             0.70535,             0.76655,             0.34849,            0.045535,            0.033413,          0.00094582,            0.008878,            0.008878,            0.008878
                  19,            0.044116,            0.037779,          0.00099121,             0.85644,             0.71964,             0.81574,             0.38016,            0.043777,            0.033033,          0.00066696,            0.008812,            0.008812,            0.008812
                  20,            0.044026,            0.038079,           0.0010053,             0.83607,             0.74615,             0.80741,             0.37893,            0.043049,            0.032336,          0.00097816,            0.008746,            0.008746,            0.008746
                  21,             0.04391,            0.036716,          0.00085621,             0.85246,             0.76362,             0.83441,             0.39167,             0.04297,            0.032121,           0.0006121,             0.00868,             0.00868,             0.00868
                  22,            0.043282,            0.037374,          0.00084216,             0.84131,             0.76437,             0.82187,             0.38733,            0.043554,            0.032162,          0.00075014,            0.008614,            0.008614,            0.008614
                  23,            0.043728,            0.036308,          0.00092305,             0.82837,             0.75982,             0.81062,             0.38099,            0.043606,            0.032831,          0.00092535,            0.008548,            0.008548,            0.008548
                  24,            0.043006,            0.036305,          0.00078156,             0.85497,             0.74481,             0.81928,             0.38048,            0.044529,            0.032121,           0.0012232,            0.008482,            0.008482,            0.008482
                  25,            0.042739,             0.03653,          0.00081232,             0.83891,             0.73825,             0.80995,             0.38121,             0.04326,            0.032548,          0.00066159,            0.008416,            0.008416,            0.008416
                  26,            0.042273,             0.03591,          0.00070799,             0.85949,             0.75114,             0.83012,             0.38511,            0.042717,            0.031981,          0.00062035,             0.00835,             0.00835,             0.00835
                  27,            0.042703,            0.035917,          0.00069279,             0.84279,             0.76225,               0.824,             0.38784,            0.043304,            0.031761,           0.0005663,            0.008284,            0.008284,            0.008284
                  28,            0.042452,            0.035828,          0.00083359,             0.84921,             0.74503,             0.81487,             0.38585,            0.043771,            0.032643,          0.00071216,            0.008218,            0.008218,            0.008218
                  29,            0.041965,            0.036954,          0.00077521,             0.85308,             0.74857,             0.82526,             0.38436,            0.043014,            0.031857,          0.00067526,            0.008152,            0.008152,            0.008152
                  30,            0.041807,            0.036191,          0.00068983,             0.86667,             0.74664,             0.82901,             0.39375,            0.043495,            0.032502,          0.00055677,            0.008086,            0.008086,            0.008086
