               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10528,            0.066512,            0.021955,             0.13503,             0.46878,             0.13617,            0.036296,            0.085459,            0.092749,            0.011527,            0.070508,           0.0032768,           0.0032768
                   1,            0.077433,            0.060118,           0.0076136,             0.29142,             0.40948,             0.26352,            0.086915,             0.06972,            0.062208,           0.0055452,            0.040443,           0.0065447,           0.0065447
                   2,            0.066155,             0.05533,           0.0048194,             0.31139,             0.27777,             0.24716,            0.099278,            0.068289,            0.072287,            0.017889,            0.010312,           0.0097466,           0.0097466
                   3,            0.057929,            0.052355,           0.0044329,             0.56812,             0.50252,             0.47358,             0.19916,            0.056182,            0.056832,             0.00431,            0.009703,            0.009703,            0.009703
                   4,            0.054559,            0.053614,           0.0035794,             0.64879,             0.50155,             0.54504,             0.23021,            0.053319,            0.050914,           0.0032393,            0.009703,            0.009703,            0.009703
                   5,            0.051963,             0.05112,           0.0026418,             0.74857,             0.55898,             0.63171,             0.26445,            0.051414,            0.042461,           0.0089259,            0.009604,            0.009604,            0.009604
                   6,             0.05038,            0.048376,           0.0021757,             0.78074,             0.66951,             0.73026,             0.31504,            0.047226,             0.04065,           0.0017379,            0.009505,            0.009505,            0.009505
                   7,            0.048878,            0.047245,           0.0019617,             0.82312,              0.6741,             0.75338,             0.33922,            0.046721,            0.040865,           0.0020542,            0.009406,            0.009406,            0.009406
                   8,            0.047626,            0.047121,           0.0017132,             0.73032,             0.63397,             0.69094,             0.30855,            0.047219,            0.043909,           0.0053158,            0.009307,            0.009307,            0.009307
                   9,            0.047687,            0.047196,           0.0015126,             0.80441,             0.66769,             0.74385,             0.34609,            0.045553,            0.041185,           0.0013563,            0.009208,            0.009208,            0.009208
                  10,            0.047219,            0.046047,            0.001358,             0.79245,             0.66636,             0.73514,             0.34205,            0.044727,            0.042195,           0.0043371,            0.009109,            0.009109,            0.009109
                  11,            0.046299,            0.046637,           0.0013251,             0.83652,             0.71689,             0.79239,              0.3684,            0.044123,            0.038382,           0.0011045,             0.00901,             0.00901,             0.00901
                  12,            0.045731,            0.046192,           0.0011077,             0.82994,              0.7099,             0.77771,             0.36872,            0.043726,            0.039466,           0.0014569,            0.008911,            0.008911,            0.008911
                  13,            0.045646,            0.044542,            0.001223,             0.80853,             0.67911,             0.74538,             0.35096,            0.044369,            0.039371,           0.0017544,            0.008812,            0.008812,            0.008812
                  14,            0.045485,            0.044734,          0.00097648,             0.83003,             0.72261,             0.79541,             0.37545,            0.043021,            0.037476,           0.0014378,            0.008713,            0.008713,            0.008713
                  15,             0.04513,            0.045426,          0.00091775,             0.82313,              0.7047,             0.76731,             0.36218,            0.044167,            0.038279,           0.0015448,            0.008614,            0.008614,            0.008614
                  16,              0.0445,            0.044154,           0.0012532,              0.8141,              0.7204,             0.79017,             0.36736,            0.044198,            0.039619,           0.0017312,            0.008515,            0.008515,            0.008515
                  17,            0.044103,            0.043661,           0.0010563,             0.84335,              0.7196,             0.78561,              0.3657,            0.043426,            0.037467,           0.0011381,            0.008416,            0.008416,            0.008416
                  18,            0.044005,            0.043756,          0.00089556,             0.83664,             0.72948,               0.802,             0.38592,            0.042658,            0.037553,           0.0015598,            0.008317,            0.008317,            0.008317
                  19,             0.04373,            0.043925,           0.0008635,             0.80741,             0.71545,             0.78819,             0.37462,            0.043127,            0.038136,           0.0036122,            0.008218,            0.008218,            0.008218
                  20,            0.043813,            0.043869,           0.0010579,             0.84344,             0.73052,             0.79481,             0.38252,            0.042881,             0.03732,           0.0013322,            0.008119,            0.008119,            0.008119
                  21,            0.042941,            0.043518,          0.00085486,             0.83863,             0.74273,             0.81679,             0.38858,            0.043033,            0.036733,           0.0011304,             0.00802,             0.00802,             0.00802
                  22,            0.042947,            0.043037,           0.0007289,             0.83932,             0.73263,             0.79407,             0.36598,            0.043916,            0.037086,          0.00094677,            0.007921,            0.007921,            0.007921
                  23,            0.042694,            0.042167,          0.00076208,              0.8484,             0.74987,             0.81871,             0.39957,            0.042411,            0.036399,           0.0014298,            0.007822,            0.007822,            0.007822
                  24,            0.042824,            0.043485,          0.00066039,             0.83927,             0.73974,             0.81194,             0.39628,            0.041969,            0.037041,           0.0014982,            0.007723,            0.007723,            0.007723
                  25,            0.042439,            0.041695,          0.00070757,             0.85042,             0.73852,             0.81468,             0.39513,            0.041839,            0.036553,          0.00086575,            0.007624,            0.007624,            0.007624
                  26,            0.041761,            0.042876,          0.00074514,             0.84496,             0.75779,             0.82579,               0.384,            0.042292,            0.036718,           0.0011476,            0.007525,            0.007525,            0.007525
                  27,            0.041926,            0.042659,          0.00073835,             0.85427,             0.75697,             0.83069,             0.40208,            0.041765,            0.036902,          0.00067326,            0.007426,            0.007426,            0.007426
                  28,            0.041829,             0.04128,           0.0006134,             0.84528,             0.72752,             0.80164,             0.38563,            0.042787,            0.037821,          0.00076703,            0.007327,            0.007327,            0.007327
                  29,            0.041806,            0.042376,          0.00059158,             0.87429,             0.74413,             0.83304,             0.40255,            0.041905,            0.036126,          0.00079663,            0.007228,            0.007228,            0.007228
                  30,            0.041515,            0.042382,          0.00053251,             0.86319,             0.73532,             0.82177,             0.39655,            0.042414,            0.037283,          0.00090005,            0.007129,            0.007129,            0.007129
                  31,            0.041303,            0.042004,          0.00053103,             0.85939,             0.74007,             0.82029,             0.40192,            0.041961,            0.036309,           0.0010316,             0.00703,             0.00703,             0.00703
                  32,            0.041288,            0.040878,          0.00052823,             0.86233,             0.76648,             0.83591,             0.39978,            0.041997,            0.036202,          0.00082584,            0.006931,            0.006931,            0.006931
                  33,            0.040841,            0.041203,          0.00054244,             0.85718,             0.76205,             0.82926,             0.40006,            0.042346,            0.036235,           0.0014183,            0.006832,            0.006832,            0.006832
