               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10313,             0.03095,            0.021244,             0.62907,            0.099379,            0.092924,            0.026363,            0.083591,            0.036687,            0.010295,            0.070423,           0.0032864,           0.0032864
                   1,            0.074127,            0.028981,           0.0076058,             0.24711,             0.25922,             0.18064,            0.064861,            0.063177,            0.026249,            0.016938,            0.040379,            0.006576,            0.006576
                   2,            0.063134,            0.024781,           0.0049426,             0.57007,             0.21251,             0.22309,            0.089603,              0.0735,            0.028603,            0.019258,            0.010291,           0.0098217,           0.0098217
                   3,            0.057116,            0.023811,            0.004511,             0.68423,                0.49,             0.57118,             0.22611,            0.052516,            0.024322,           0.0035052,            0.009802,            0.009802,            0.009802
                   4,            0.053262,             0.02304,           0.0034823,             0.55197,             0.34464,               0.365,             0.15886,            0.053661,            0.028501,           0.0059678,            0.009802,            0.009802,            0.009802
                   5,            0.050716,            0.022092,           0.0026407,             0.70502,             0.52296,             0.60605,              0.2531,             0.04951,            0.020208,             0.01252,            0.009736,            0.009736,            0.009736
                   6,            0.049452,            0.021308,           0.0022427,             0.80017,             0.66012,             0.73567,             0.32189,            0.047235,            0.018493,           0.0012989,             0.00967,             0.00967,             0.00967
                   7,            0.048547,             0.02129,           0.0017846,             0.56309,             0.45677,             0.46503,             0.19499,            0.049494,            0.023451,           0.0089622,            0.009604,            0.009604,            0.009604
                   8,            0.047641,            0.020305,           0.0016646,             0.81616,             0.68093,             0.74407,             0.29623,            0.046646,            0.018133,           0.0012064,            0.009538,            0.009538,            0.009538
                   9,            0.047011,            0.020393,           0.0013963,             0.84898,             0.68465,             0.77634,             0.34931,            0.044691,            0.017411,           0.0012173,            0.009472,            0.009472,            0.009472
                  10,            0.046604,            0.020414,           0.0012663,             0.82981,             0.71144,             0.78354,              0.3531,            0.045102,            0.017279,           0.0014676,            0.009406,            0.009406,            0.009406
                  11,             0.04561,            0.020581,           0.0014732,             0.77614,             0.65155,             0.73704,             0.33738,            0.045541,              0.0181,           0.0022886,             0.00934,             0.00934,             0.00934
                  12,            0.046162,            0.019688,           0.0012945,             0.81623,             0.68337,             0.76684,             0.34662,            0.045433,             0.01853,           0.0016556,            0.009274,            0.009274,            0.009274
                  13,            0.045938,            0.019916,            0.001539,              0.6885,             0.55865,             0.61787,             0.28135,            0.045726,             0.02095,           0.0023677,            0.009208,            0.009208,            0.009208
                  14,            0.045949,            0.020337,            0.001133,             0.83957,             0.70826,             0.80159,             0.37218,            0.043351,            0.017178,          0.00078519,            0.009142,            0.009142,            0.009142
                  15,            0.044962,            0.019927,            0.001617,             0.79151,             0.60129,             0.68307,             0.29959,            0.048522,            0.019663,           0.0036521,            0.009076,            0.009076,            0.009076
                  16,            0.045173,            0.019627,           0.0012254,             0.81867,             0.65849,             0.75757,             0.34604,            0.044092,            0.018025,           0.0013385,             0.00901,             0.00901,             0.00901
                  17,            0.044446,              0.0194,           0.0010072,             0.85714,             0.68286,             0.78134,             0.36325,            0.043845,             0.01713,           0.0013557,            0.008944,            0.008944,            0.008944
                  18,            0.044136,            0.019032,           0.0010403,             0.84232,             0.71912,             0.79693,             0.36229,            0.043814,            0.016619,           0.0010601,            0.008878,            0.008878,            0.008878
