               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12385,            0.040146,            0.029646,          0.00038174,            0.032255,          0.00020459,          4.5251e-05,             0.11878,            0.032558,            0.031245,              0.0946,              0.0006,              0.0006
                   1,             0.11938,            0.042229,            0.028232,          0.00026183,            0.021845,          0.00014819,          2.8644e-05,             0.11436,            0.032842,            0.030046,            0.088291,           0.0012914,           0.0012914
                   2,             0.11441,            0.035762,            0.027407,          0.00030144,            0.026699,          0.00017477,          3.0434e-05,             0.10787,            0.034698,            0.028355,            0.081974,           0.0019736,           0.0019736
                   3,             0.10855,            0.042561,            0.025887,          0.00065839,            0.063808,          0.00040089,           9.544e-05,             0.10144,            0.037453,            0.025685,            0.075647,           0.0026465,           0.0026465
                   4,             0.10572,            0.036059,            0.024644,          0.00089932,             0.10437,          0.00077767,          0.00015958,            0.095336,            0.039789,            0.022712,             0.06931,           0.0033102,           0.0033102
                   5,             0.10407,            0.046161,            0.021841,          0.00099438,             0.12621,          0.00074407,           0.0001925,            0.093636,            0.040108,             0.02126,            0.062965,           0.0039647,           0.0039647
                   6,            0.098945,             0.04437,            0.020391,           0.0012238,             0.13004,          0.00082682,          0.00018208,             0.08962,            0.041635,            0.018687,             0.05661,           0.0046099,           0.0046099
                   7,             0.10089,            0.047181,            0.020588,           0.0012251,             0.16505,          0.00098064,          0.00024491,            0.090713,             0.04085,            0.016496,            0.050246,           0.0052459,           0.0052459
                   8,            0.097062,            0.045376,             0.01628,           0.0016614,              0.2233,           0.0020577,          0.00053076,            0.093608,            0.037982,            0.015495,            0.043873,           0.0058726,           0.0058726
                   9,             0.09652,            0.050146,             0.01383,           0.0021437,             0.29126,            0.003726,          0.00095327,            0.091363,            0.038956,            0.014179,             0.03749,           0.0064901,           0.0064901
                  10,            0.093178,            0.047679,            0.010789,             0.54127,             0.10437,             0.04685,            0.010927,             0.09392,            0.038073,            0.012041,            0.031098,           0.0070984,           0.0070984
                  11,            0.091894,            0.046374,            0.012061,             0.61745,             0.11893,            0.076296,            0.024001,            0.087208,            0.050053,            0.012008,            0.024697,           0.0076974,           0.0076974
                  12,            0.091393,            0.045819,            0.013463,             0.64217,             0.11165,            0.090819,            0.030203,             0.09611,            0.053771,            0.011803,            0.018287,           0.0082872,           0.0082872
                  13,            0.090855,             0.05032,           0.0079281,             0.69856,             0.14806,             0.12866,            0.044026,            0.085708,             0.06597,            0.012441,            0.011868,           0.0088677,           0.0088677
                  14,            0.088273,            0.052536,           0.0080463,              0.6108,             0.12621,            0.084908,            0.023022,            0.096856,            0.078409,           0.0077632,            0.009076,            0.009076,            0.009076
                  15,            0.094472,            0.042004,           0.0064231,            0.017009,             0.52659,            0.073096,            0.021822,            0.087368,            0.041124,            0.015779,            0.009076,            0.009076,            0.009076
                  16,            0.092311,             0.04366,           0.0067903,             0.34731,             0.27169,            0.061788,            0.018572,             0.10517,            0.034927,            0.011616,             0.00901,             0.00901,             0.00901
                  17,            0.095056,            0.037972,           0.0064439,             0.25484,             0.22914,            0.076471,            0.022756,            0.085661,            0.038818,           0.0080619,            0.008944,            0.008944,            0.008944
                  18,              0.0856,            0.040658,           0.0063127,             0.43436,             0.20458,            0.051466,            0.018216,            0.095996,            0.033036,           0.0054832,            0.008878,            0.008878,            0.008878
                  19,            0.083373,             0.04096,           0.0047278,              0.1948,             0.35877,            0.067918,            0.023319,            0.095071,            0.030336,           0.0080681,            0.008812,            0.008812,            0.008812
                  20,            0.085087,             0.04068,           0.0058801,             0.15578,             0.44461,            0.075648,             0.02477,            0.080916,            0.035911,           0.0081533,            0.008746,            0.008746,            0.008746
                  21,            0.081001,            0.039358,           0.0054938,             0.10136,             0.19956,            0.052912,            0.019573,            0.086878,            0.032969,           0.0051201,             0.00868,             0.00868,             0.00868
                  22,            0.077973,            0.037501,           0.0040568,             0.18003,             0.27816,            0.099154,             0.02982,            0.076178,            0.036135,           0.0091487,            0.008614,            0.008614,            0.008614
                  23,            0.077881,            0.036471,            0.010217,             0.10741,             0.26462,            0.075827,            0.023487,             0.07652,            0.039736,           0.0051446,            0.008548,            0.008548,            0.008548
                  24,            0.073974,            0.039704,           0.0036694,             0.25697,             0.26154,             0.14385,            0.040744,            0.073811,            0.039383,           0.0031168,            0.008482,            0.008482,            0.008482
                  25,            0.069219,            0.036205,           0.0069973,             0.22374,              0.3664,             0.20118,            0.059989,            0.073294,            0.040019,           0.0037046,            0.008416,            0.008416,            0.008416
                  26,            0.071161,            0.041163,           0.0040591,             0.40432,             0.35865,             0.30453,              0.1016,            0.068624,            0.043378,            0.002778,             0.00835,             0.00835,             0.00835
                  27,            0.069403,             0.03536,           0.0036593,             0.38905,              0.3781,             0.31123,             0.10903,            0.068029,            0.034707,           0.0047319,            0.008284,            0.008284,            0.008284
                  28,            0.068377,            0.036651,           0.0038434,             0.50716,              0.3493,              0.3589,             0.13992,            0.059447,            0.046762,           0.0038155,            0.008218,            0.008218,            0.008218
                  29,            0.063542,            0.035581,           0.0033566,             0.39821,             0.38004,             0.36569,             0.14159,            0.070541,            0.033078,           0.0043822,            0.008152,            0.008152,            0.008152
                  30,            0.067689,            0.037064,           0.0039896,             0.34489,             0.42702,             0.29038,            0.097475,            0.065752,            0.040304,           0.0023458,            0.008086,            0.008086,            0.008086
                  31,             0.06878,            0.039514,           0.0069833,             0.36909,             0.44444,              0.3309,              0.1192,            0.064826,            0.029237,           0.0035014,             0.00802,             0.00802,             0.00802
                  32,             0.06687,             0.03431,           0.0035955,             0.38805,             0.38452,             0.32254,             0.11162,            0.061039,            0.031542,           0.0036084,            0.007954,            0.007954,            0.007954
                  33,            0.067384,            0.036012,           0.0028317,             0.32819,             0.39233,             0.25738,            0.082905,            0.080448,            0.039324,           0.0053534,            0.007888,            0.007888,            0.007888
                  34,            0.065696,            0.035168,           0.0032288,             0.34495,             0.36569,             0.29614,            0.085986,            0.065619,            0.037496,           0.0049122,            0.007822,            0.007822,            0.007822
                  35,            0.064134,            0.033735,           0.0030537,             0.36932,              0.2582,             0.22617,            0.070604,            0.070108,            0.034913,            0.005784,            0.007756,            0.007756,            0.007756
                  36,            0.063244,            0.035359,            0.002156,             0.45804,             0.38792,             0.37922,              0.1389,            0.056257,            0.038531,           0.0055961,             0.00769,             0.00769,             0.00769
                  37,            0.062129,            0.032636,           0.0032239,             0.33643,             0.28069,             0.22915,            0.098461,            0.069438,            0.046686,            0.009089,            0.007624,            0.007624,            0.007624
                  38,            0.064073,            0.033778,           0.0032458,             0.43064,             0.27503,              0.3064,             0.12491,             0.05962,            0.037215,            0.010888,            0.007558,            0.007558,            0.007558
                  39,            0.057937,            0.037923,           0.0030257,             0.38303,             0.25739,             0.24755,             0.10072,            0.060876,            0.039015,            0.029171,            0.007492,            0.007492,            0.007492
                  40,             0.05791,            0.032084,            0.003392,             0.43699,             0.32503,              0.3167,              0.1262,            0.057326,            0.032122,            0.015693,            0.007426,            0.007426,            0.007426
                  41,            0.057022,            0.036867,           0.0038858,             0.53267,             0.51942,             0.49574,              0.2037,            0.052378,            0.027731,           0.0040688,             0.00736,             0.00736,             0.00736
                  42,            0.055605,              0.0334,           0.0027932,             0.39916,             0.43652,             0.39938,             0.14231,            0.055386,            0.026606,           0.0044317,            0.007294,            0.007294,            0.007294
                  43,            0.056159,            0.036256,           0.0027071,             0.56099,             0.59605,             0.61058,             0.26669,            0.053177,            0.026153,           0.0020744,            0.007228,            0.007228,            0.007228
                  44,            0.059385,            0.028981,           0.0025735,             0.54523,             0.60025,             0.56468,             0.23479,             0.04949,            0.025063,           0.0026913,            0.007162,            0.007162,            0.007162
                  45,            0.054169,            0.033263,           0.0020135,             0.45355,              0.5343,             0.42867,             0.18012,            0.056101,             0.02545,           0.0038388,            0.007096,            0.007096,            0.007096
                  46,            0.055089,            0.034222,           0.0018517,             0.57831,             0.59278,             0.59622,             0.23073,            0.054921,            0.024075,           0.0019657,             0.00703,             0.00703,             0.00703
                  47,            0.056344,            0.028615,           0.0041423,             0.63052,             0.60933,             0.63913,             0.27315,            0.050043,             0.02479,           0.0018589,            0.006964,            0.006964,            0.006964
                  48,            0.053552,            0.028189,            0.001746,             0.59288,              0.6034,             0.61036,             0.23585,            0.052471,            0.022988,           0.0017559,            0.006898,            0.006898,            0.006898
                  49,            0.053482,            0.032693,           0.0025933,             0.52137,             0.51133,             0.51462,             0.22388,            0.049673,            0.029032,           0.0028325,            0.006832,            0.006832,            0.006832
                  50,            0.053016,            0.036545,           0.0020262,             0.55396,             0.56203,             0.59323,             0.27152,            0.049267,             0.02531,           0.0015825,            0.006766,            0.006766,            0.006766
                  51,            0.056448,            0.030448,           0.0016563,             0.50167,             0.54282,             0.51178,             0.20212,            0.051874,            0.023303,           0.0018229,              0.0067,              0.0067,              0.0067
                  52,            0.056613,            0.030444,           0.0013805,             0.64445,             0.54924,             0.59245,             0.26293,            0.046092,             0.02331,           0.0022598,            0.006634,            0.006634,            0.006634
                  53,            0.054044,            0.030597,           0.0020417,             0.56221,             0.56229,             0.57268,             0.25149,            0.048732,            0.025118,           0.0022672,            0.006568,            0.006568,            0.006568
                  54,            0.049892,            0.029028,           0.0020077,             0.67359,             0.61656,             0.69241,             0.27989,            0.048574,            0.021967,           0.0011972,            0.006502,            0.006502,            0.006502
                  55,            0.055521,            0.031599,           0.0018297,             0.70026,              0.6643,             0.71558,             0.31237,            0.044894,            0.021626,          0.00098937,            0.006436,            0.006436,            0.006436
                  56,            0.049824,            0.028322,           0.0015421,             0.71504,              0.7056,             0.74526,             0.31573,            0.047915,             0.02125,          0.00098326,             0.00637,             0.00637,             0.00637
                  57,            0.051014,            0.030884,           0.0017395,             0.64056,             0.63426,             0.62615,               0.239,            0.050886,            0.022983,           0.0014813,            0.006304,            0.006304,            0.006304
                  58,            0.048225,            0.030446,           0.0013674,             0.56537,             0.67244,               0.617,             0.26272,            0.045316,            0.021453,          0.00093083,            0.006238,            0.006238,            0.006238
                  59,            0.053503,            0.023765,           0.0013541,             0.74334,             0.72169,             0.79143,             0.33992,            0.044412,            0.021541,           0.0010347,            0.006172,            0.006172,            0.006172
                  60,            0.052874,             0.02581,            0.001277,             0.64561,             0.65302,             0.69624,             0.28868,            0.051022,             0.02126,            0.001014,            0.006106,            0.006106,            0.006106
                  61,            0.049419,            0.027188,            0.001524,             0.79064,             0.68457,             0.78977,             0.31198,            0.047603,             0.02097,          0.00098633,             0.00604,             0.00604,             0.00604
                  62,             0.05141,            0.027813,           0.0016571,             0.75591,             0.70421,             0.80311,              0.3513,            0.045802,            0.021969,           0.0010317,            0.005974,            0.005974,            0.005974
                  63,            0.050023,            0.027232,            0.001253,             0.73718,             0.63228,             0.73785,             0.31583,            0.043134,            0.021487,           0.0021024,            0.005908,            0.005908,            0.005908
                  64,             0.05028,            0.029926,           0.0013034,             0.89607,             0.66586,             0.83641,             0.39317,            0.042768,            0.022085,           0.0011486,            0.005842,            0.005842,            0.005842
                  65,            0.048175,            0.028373,            0.002787,             0.74198,             0.77443,             0.83266,             0.41095,            0.041972,            0.020627,          0.00096123,            0.005776,            0.005776,            0.005776
                  66,            0.047194,            0.027084,           0.0011975,             0.76704,             0.70949,             0.80049,             0.37246,            0.044397,            0.022103,          0.00092499,             0.00571,             0.00571,             0.00571
                  67,            0.047796,            0.028226,           0.0019792,             0.83101,             0.67038,             0.78781,             0.40525,            0.042079,            0.021359,            0.008769,            0.005644,            0.005644,            0.005644
                  68,            0.049968,             0.02815,           0.0025268,             0.78738,             0.76332,             0.81082,             0.38797,            0.042005,            0.020767,            0.001838,            0.005578,            0.005578,            0.005578
                  69,            0.043369,             0.02673,           0.0011215,             0.72025,             0.63867,             0.71284,             0.34247,            0.044861,            0.024203,           0.0018795,            0.005512,            0.005512,            0.005512
                  70,            0.048884,            0.028509,           0.0011866,             0.78318,             0.65695,             0.74486,             0.33437,            0.048057,            0.022075,           0.0020176,            0.005446,            0.005446,            0.005446
                  71,            0.049625,            0.027683,           0.0011073,             0.84272,             0.68003,             0.80298,             0.37853,            0.040562,             0.02013,           0.0014265,             0.00538,             0.00538,             0.00538
                  72,            0.044501,            0.026825,           0.0010919,             0.81112,             0.77896,             0.86018,             0.41109,            0.041179,            0.019531,          0.00091175,            0.005314,            0.005314,            0.005314
                  73,            0.047358,            0.027736,           0.0022585,             0.86293,             0.75518,             0.87118,             0.39959,            0.040742,            0.019162,          0.00095639,            0.005248,            0.005248,            0.005248
                  74,            0.044024,            0.024834,           0.0010487,             0.73879,             0.66123,             0.70785,             0.34097,            0.041866,            0.022256,           0.0024498,            0.005182,            0.005182,            0.005182
                  75,            0.045393,            0.031872,           0.0010708,             0.84457,             0.78117,             0.85537,             0.39409,             0.04084,            0.019503,           0.0012172,            0.005116,            0.005116,            0.005116
                  76,            0.048031,            0.025263,           0.0016345,             0.83126,             0.83274,             0.87635,             0.44189,            0.040877,            0.019449,           0.0010648,             0.00505,             0.00505,             0.00505
                  77,            0.041948,            0.023541,           0.0011158,             0.77218,             0.77854,             0.82926,             0.39159,              0.0419,            0.020313,           0.0022031,            0.004984,            0.004984,            0.004984
                  78,            0.043326,            0.027249,          0.00094451,              0.8236,             0.82443,             0.86176,             0.42262,            0.039964,            0.019607,           0.0011165,            0.004918,            0.004918,            0.004918
                  79,            0.045225,            0.026442,           0.0012743,             0.83575,             0.82961,             0.87893,             0.45477,            0.037313,            0.018917,          0.00087392,            0.004852,            0.004852,            0.004852
                  80,            0.042353,            0.029794,           0.0012961,             0.77929,             0.84973,             0.86712,             0.42028,            0.038506,             0.01865,          0.00082816,            0.004786,            0.004786,            0.004786
                  81,            0.046762,            0.032854,          0.00089184,             0.85721,             0.88581,             0.92051,             0.46013,            0.039578,            0.018196,          0.00067976,             0.00472,             0.00472,             0.00472
                  82,            0.048064,            0.029086,           0.0020211,             0.84989,             0.86052,             0.90518,             0.46761,            0.038422,            0.018266,          0.00072744,            0.004654,            0.004654,            0.004654
                  83,            0.043408,            0.023196,            0.000912,             0.86103,             0.88716,             0.92277,             0.43007,            0.041541,            0.018133,          0.00074539,            0.004588,            0.004588,            0.004588
                  84,            0.046491,            0.030858,          0.00074066,             0.85725,             0.88769,             0.91552,             0.49374,            0.036957,             0.01815,          0.00090065,            0.004522,            0.004522,            0.004522
                  85,            0.040651,            0.023319,           0.0011842,             0.90509,             0.88281,             0.93103,             0.47238,            0.038626,            0.018645,          0.00077647,            0.004456,            0.004456,            0.004456
                  86,            0.038909,            0.023652,           0.0010418,             0.78152,             0.84903,             0.85929,             0.42985,            0.038292,            0.017906,          0.00072708,             0.00439,             0.00439,             0.00439
                  87,            0.040626,            0.022958,          0.00078957,             0.79075,             0.86271,             0.88844,             0.46109,            0.038585,             0.01795,           0.0006961,            0.004324,            0.004324,            0.004324
                  88,            0.045704,            0.026226,          0.00097135,             0.92059,             0.86117,             0.93131,             0.46001,            0.037907,             0.01778,          0.00069973,            0.004258,            0.004258,            0.004258
                  89,             0.04228,            0.026713,           0.0010521,              0.8482,             0.86787,             0.89751,             0.45278,              0.0358,            0.017895,          0.00078535,            0.004192,            0.004192,            0.004192
                  90,            0.046711,            0.026731,           0.0029002,             0.87765,             0.85452,             0.92223,             0.48922,            0.035404,            0.018431,           0.0007841,            0.004126,            0.004126,            0.004126
                  91,            0.038989,            0.024595,          0.00089333,             0.93997,             0.85135,             0.92697,             0.49026,            0.036316,            0.018282,           0.0010599,             0.00406,             0.00406,             0.00406
                  92,            0.040882,            0.026641,           0.0010284,             0.92945,             0.87201,             0.94315,             0.51219,            0.035146,            0.018039,          0.00074261,            0.003994,            0.003994,            0.003994
                  93,            0.042526,            0.027601,           0.0028921,             0.91563,             0.86062,             0.92757,             0.49383,            0.035825,            0.018519,            0.001079,            0.003928,            0.003928,            0.003928
                  94,            0.043948,            0.024862,           0.0012082,             0.91828,             0.90775,             0.95416,             0.50767,            0.035376,            0.017526,          0.00065479,            0.003862,            0.003862,            0.003862
                  95,            0.042499,            0.023557,           0.0010477,             0.93605,             0.92017,             0.96138,              0.5284,            0.035807,            0.017139,          0.00062148,            0.003796,            0.003796,            0.003796
                  96,            0.043158,            0.029946,          0.00074015,             0.90603,             0.90631,             0.96001,             0.51627,            0.034508,            0.016995,          0.00060306,             0.00373,             0.00373,             0.00373
                  97,            0.037927,            0.022504,           0.0009639,             0.92767,             0.90811,             0.96823,             0.54443,            0.033632,            0.017101,          0.00062796,            0.003664,            0.003664,            0.003664
                  98,            0.038249,            0.023149,          0.00079409,              0.8371,             0.88096,             0.92849,             0.50349,            0.035932,            0.017078,            0.000723,            0.003598,            0.003598,            0.003598
                  99,            0.042496,            0.023849,           0.0008112,             0.94049,             0.87633,             0.94984,             0.52003,            0.033963,            0.017234,          0.00077332,            0.003532,            0.003532,            0.003532
                 100,            0.039828,             0.02865,           0.0010627,             0.94695,             0.90718,             0.96554,             0.56129,            0.033058,            0.016751,          0.00056805,            0.003466,            0.003466,            0.003466
                 101,            0.039574,            0.021511,           0.0007279,             0.95531,             0.89867,             0.96253,             0.52568,            0.035569,            0.017345,          0.00056268,              0.0034,              0.0034,              0.0034
                 102,            0.039572,            0.022052,          0.00061122,             0.96753,             0.90842,             0.97228,             0.56611,            0.032685,            0.016294,          0.00052778,            0.003334,            0.003334,            0.003334
                 103,            0.038121,             0.02251,          0.00083166,             0.96514,              0.8984,             0.97192,             0.54993,            0.032282,            0.016241,          0.00051232,            0.003268,            0.003268,            0.003268
                 104,            0.038527,            0.025221,          0.00074166,             0.96072,               0.907,             0.97044,             0.57089,            0.030993,            0.016192,          0.00051597,            0.003202,            0.003202,            0.003202
                 105,            0.036922,            0.022185,          0.00087078,             0.96075,             0.91845,             0.97245,             0.52618,            0.035788,            0.016202,          0.00048961,            0.003136,            0.003136,            0.003136
                 106,            0.037195,            0.025505,          0.00055786,             0.94731,             0.91276,             0.97515,              0.5532,            0.032672,            0.016034,          0.00049239,             0.00307,             0.00307,             0.00307
                 107,            0.039764,            0.024899,            0.001156,             0.94626,              0.9254,             0.97675,             0.55763,            0.032195,            0.015958,          0.00048869,            0.003004,            0.003004,            0.003004
                 108,            0.041024,            0.032139,          0.00068055,             0.95681,             0.93467,             0.97549,             0.53923,             0.03382,            0.015882,          0.00048205,            0.002938,            0.002938,            0.002938
                 109,            0.037744,            0.019339,          0.00090263,             0.93864,             0.92181,             0.97046,             0.51779,             0.03309,            0.016171,          0.00049739,            0.002872,            0.002872,            0.002872
                 110,            0.038889,            0.021715,          0.00063327,             0.95124,             0.94169,             0.97372,             0.51765,            0.034431,            0.015706,          0.00046971,            0.002806,            0.002806,            0.002806
                 111,            0.039293,            0.022726,          0.00084482,             0.96842,             0.92988,             0.97569,             0.57958,            0.030642,            0.015501,          0.00046332,             0.00274,             0.00274,             0.00274
                 112,            0.037989,            0.022539,             0.00046,             0.95529,             0.92362,             0.97392,              0.5846,            0.031377,            0.015668,           0.0004729,            0.002674,            0.002674,            0.002674
                 113,            0.037544,            0.022198,          0.00091152,             0.94612,             0.93474,             0.97211,             0.58871,            0.031042,            0.015572,          0.00044632,            0.002608,            0.002608,            0.002608
                 114,            0.038223,            0.022495,            0.001018,             0.95563,             0.94099,             0.97892,             0.59397,             0.03124,            0.015361,          0.00044136,            0.002542,            0.002542,            0.002542
                 115,             0.03585,            0.022081,          0.00050849,             0.94652,             0.95502,             0.98403,             0.60305,            0.030495,            0.015249,          0.00044595,            0.002476,            0.002476,            0.002476
                 116,            0.036849,            0.022018,          0.00056561,             0.93412,             0.96564,             0.98362,             0.59835,            0.030237,            0.015237,          0.00043696,             0.00241,             0.00241,             0.00241
                 117,            0.035375,            0.017698,          0.00050563,             0.95714,             0.96877,             0.98166,             0.59492,            0.030647,            0.015239,          0.00043121,            0.002344,            0.002344,            0.002344
                 118,            0.038896,            0.019767,          0.00072794,             0.93995,             0.95626,             0.97886,              0.5789,            0.031692,            0.015453,          0.00041029,            0.002278,            0.002278,            0.002278
