               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10374,            0.027107,             0.02256,             0.31653,             0.13345,             0.10059,            0.029076,            0.080609,            0.024192,            0.022204,            0.070326,           0.0032971,           0.0032971
                   1,            0.073652,            0.025823,            0.010396,             0.49907,             0.34378,             0.33028,             0.12966,            0.062742,            0.020273,           0.0096604,             0.04026,           0.0065648,           0.0065648
                   2,            0.066092,             0.02345,           0.0084662,             0.47789,             0.36192,             0.32613,             0.11734,             0.06111,             0.02536,           0.0073999,            0.010129,           0.0097665,           0.0097665
                   3,            0.061483,            0.022684,           0.0075463,             0.55803,             0.35546,             0.37765,             0.15569,            0.060589,            0.020567,           0.0093953,            0.009703,            0.009703,            0.009703
                   4,            0.058759,            0.022409,           0.0062316,             0.75272,             0.59147,             0.65808,             0.27761,            0.050205,            0.017763,             0.00281,            0.009703,            0.009703,            0.009703
                   5,            0.056617,            0.021944,           0.0053744,             0.74632,             0.61073,              0.6727,             0.28798,            0.048584,            0.015877,           0.0043173,            0.009604,            0.009604,            0.009604
                   6,            0.055943,            0.021863,           0.0054892,             0.77714,             0.60608,             0.68587,             0.29487,            0.047746,               0.015,           0.0032086,            0.009505,            0.009505,            0.009505
                   7,            0.055776,            0.021802,           0.0049487,             0.75799,             0.63254,             0.69741,             0.29059,              0.0489,            0.014727,           0.0029087,            0.009406,            0.009406,            0.009406
                   8,            0.054921,            0.021096,           0.0045562,              0.7902,             0.62969,             0.69946,             0.28198,            0.048054,            0.014191,           0.0027828,            0.009307,            0.009307,            0.009307
                   9,            0.054413,            0.020909,           0.0048556,             0.77842,             0.62884,             0.69007,             0.27851,            0.048926,            0.014754,           0.0023563,            0.009208,            0.009208,            0.009208
                  10,            0.054201,             0.02105,            0.004394,              0.8187,             0.66554,             0.74717,             0.33758,            0.045554,            0.013932,           0.0026965,            0.009109,            0.009109,            0.009109
                  11,            0.053623,            0.020513,            0.004199,             0.82062,             0.68598,             0.74323,             0.31724,            0.046268,            0.013709,            0.001397,             0.00901,             0.00901,             0.00901
                  12,             0.05304,            0.020301,           0.0042417,             0.85642,             0.67219,             0.76085,             0.32968,            0.045794,            0.013347,           0.0015032,            0.008911,            0.008911,            0.008911
                  13,            0.052811,            0.020005,           0.0042743,             0.82062,             0.65045,             0.73957,             0.31697,             0.04734,             0.01416,           0.0021663,            0.008812,            0.008812,            0.008812
                  14,            0.053008,            0.020175,           0.0040884,             0.82804,              0.6835,             0.76193,             0.31117,            0.046473,             0.01354,            0.002756,            0.008713,            0.008713,            0.008713
                  15,            0.052605,            0.019783,           0.0036498,             0.82977,             0.69023,             0.75288,             0.32959,            0.046165,             0.01386,           0.0014988,            0.008614,            0.008614,            0.008614
                  16,            0.051912,            0.019785,           0.0035889,              0.8051,             0.68361,             0.73128,             0.29981,            0.047644,            0.013478,           0.0014778,            0.008515,            0.008515,            0.008515
                  17,            0.052469,            0.019925,           0.0036834,             0.83749,             0.70773,             0.77759,             0.34618,            0.044905,            0.013218,           0.0019253,            0.008416,            0.008416,            0.008416
                  18,            0.051672,            0.019966,           0.0038562,             0.81408,             0.69747,             0.77242,             0.35384,            0.044669,            0.013408,           0.0012295,            0.008317,            0.008317,            0.008317
                  19,            0.051254,            0.019585,           0.0034009,             0.78221,             0.59522,             0.67503,             0.29467,            0.046378,            0.015017,           0.0023042,            0.008218,            0.008218,            0.008218
                  20,            0.051628,            0.019504,           0.0034811,             0.81591,             0.67966,             0.75916,             0.33663,            0.045287,            0.013248,           0.0025225,            0.008119,            0.008119,            0.008119
                  21,            0.051203,             0.01967,           0.0035486,             0.85068,             0.71523,             0.78744,             0.34815,            0.044274,            0.013316,           0.0012063,             0.00802,             0.00802,             0.00802
                  22,            0.051661,            0.019961,           0.0037073,             0.83882,             0.70058,             0.77321,             0.33594,              0.0457,            0.013163,           0.0011587,            0.007921,            0.007921,            0.007921
                  23,            0.051301,            0.019511,           0.0034434,             0.82881,             0.72796,             0.78729,             0.35918,            0.043988,            0.013003,           0.0011592,            0.007822,            0.007822,            0.007822
                  24,            0.051405,            0.019444,           0.0035517,             0.84217,             0.71612,              0.7788,             0.34476,             0.04504,            0.012977,           0.0011789,            0.007723,            0.007723,            0.007723
                  25,            0.051095,            0.019234,           0.0034284,              0.8541,             0.71786,             0.80102,             0.35782,            0.044334,            0.012926,           0.0014071,            0.007624,            0.007624,            0.007624
                  26,            0.051426,            0.019902,           0.0034083,             0.85838,             0.73928,             0.82065,             0.38677,            0.042876,            0.012928,           0.0014764,            0.007525,            0.007525,            0.007525
                  27,            0.050828,            0.019731,            0.003167,             0.82502,             0.68814,             0.74771,             0.31233,             0.04674,            0.013428,           0.0012066,            0.007426,            0.007426,            0.007426
                  28,            0.050906,            0.019715,              0.0038,             0.84965,             0.72655,             0.80222,             0.36327,             0.04344,            0.013074,           0.0015498,            0.007327,            0.007327,            0.007327
                  29,            0.050225,            0.019982,           0.0032127,             0.84693,             0.71571,             0.78189,             0.35053,            0.044647,             0.01284,          0.00089237,            0.007228,            0.007228,            0.007228
                  30,            0.050654,            0.019682,           0.0032315,             0.85753,             0.74137,             0.81955,              0.3736,            0.043301,            0.012858,           0.0011824,            0.007129,            0.007129,            0.007129
                  31,            0.050344,            0.019418,           0.0032226,              0.8505,             0.75816,             0.82573,             0.38372,            0.042455,            0.013217,          0.00099482,             0.00703,             0.00703,             0.00703
                  32,            0.050416,            0.018916,           0.0030441,             0.84439,             0.73252,             0.79764,             0.36258,            0.043571,            0.013221,           0.0010253,            0.006931,            0.006931,            0.006931
                  33,            0.049819,            0.019171,           0.0028734,             0.87217,              0.7276,             0.81279,             0.36764,            0.043987,            0.012658,          0.00084266,            0.006832,            0.006832,            0.006832
                  34,            0.050275,            0.019213,           0.0035525,             0.83949,             0.73751,             0.80917,             0.37738,            0.043668,            0.012979,           0.0010134,            0.006733,            0.006733,            0.006733
                  35,            0.049982,            0.019423,           0.0031581,             0.86187,              0.7553,             0.82262,             0.38427,            0.043119,            0.012425,          0.00078977,            0.006634,            0.006634,            0.006634
                  36,            0.050038,            0.019282,           0.0032412,             0.84934,             0.74574,              0.8209,             0.37087,            0.043265,            0.012706,           0.0012469,            0.006535,            0.006535,            0.006535
                  37,            0.050124,            0.019181,           0.0030447,             0.85377,             0.74448,             0.81604,             0.37265,            0.043353,            0.012628,          0.00098767,            0.006436,            0.006436,            0.006436
                  38,            0.049729,            0.018848,           0.0030115,             0.86871,             0.74652,             0.82583,             0.38042,            0.042692,            0.013006,          0.00081505,            0.006337,            0.006337,            0.006337
                  39,            0.049456,            0.019426,           0.0028856,             0.89126,             0.74774,             0.83839,             0.39748,            0.042021,            0.012345,          0.00091845,            0.006238,            0.006238,            0.006238
                  40,            0.049439,            0.018397,           0.0028771,             0.86332,             0.76957,             0.83717,             0.39805,            0.042126,            0.012361,          0.00064512,            0.006139,            0.006139,            0.006139
                  41,            0.049094,            0.019522,           0.0029893,              0.8722,             0.76347,             0.83576,              0.3811,            0.042745,            0.012501,          0.00076396,             0.00604,             0.00604,             0.00604
                  42,            0.049561,            0.019287,            0.002831,             0.87704,             0.76086,             0.83801,             0.40117,            0.041541,            0.012278,           0.0010761,            0.005941,            0.005941,            0.005941
                  43,            0.048494,            0.019083,           0.0028702,               0.883,             0.75594,             0.83971,             0.39785,            0.042362,             0.01239,          0.00071881,            0.005842,            0.005842,            0.005842
                  44,            0.049575,            0.019477,           0.0031842,              0.8686,             0.76496,             0.83679,             0.39805,            0.042016,             0.01244,            0.000889,            0.005743,            0.005743,            0.005743
                  45,            0.049047,            0.019158,           0.0028469,             0.89112,             0.73723,              0.8258,             0.38295,            0.043022,            0.012164,           0.0007152,            0.005644,            0.005644,            0.005644
                  46,            0.048947,            0.018677,           0.0030412,             0.87691,             0.75972,             0.83485,               0.382,            0.042668,            0.012416,           0.0010755,            0.005545,            0.005545,            0.005545
                  47,             0.04915,            0.019064,           0.0029336,             0.85178,             0.76477,             0.83454,             0.39047,            0.042001,            0.012266,          0.00077608,            0.005446,            0.005446,            0.005446
