               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098717,            0.059943,            0.021933,             0.29387,             0.34239,             0.23609,            0.072372,            0.071717,            0.061087,            0.012308,            0.070326,           0.0032971,           0.0032971
                   1,            0.069893,               0.052,           0.0082771,             0.39247,             0.47207,             0.35513,             0.14436,            0.061525,            0.043541,           0.0058339,            0.040293,           0.0065976,           0.0065976
                   2,            0.061547,            0.047459,            0.005045,             0.67739,             0.60587,             0.61104,             0.25903,            0.052062,            0.043748,           0.0040321,            0.010227,           0.0098651,           0.0098651
                   3,            0.055495,            0.047264,           0.0044518,             0.79156,             0.61984,             0.68692,             0.28774,            0.049181,            0.042102,           0.0033217,           0.0098515,           0.0098515,           0.0098515
                   4,            0.052515,             0.04602,           0.0035314,             0.73473,              0.6199,             0.66736,             0.24296,            0.053083,            0.034694,           0.0038288,           0.0098515,           0.0098515,           0.0098515
                   5,             0.05072,            0.045763,            0.002889,             0.80523,             0.69184,             0.76615,             0.34932,             0.04563,            0.034534,            0.001681,            0.009802,            0.009802,            0.009802
                   6,            0.049152,            0.043229,           0.0025115,             0.80937,              0.7063,             0.77667,             0.34558,            0.045171,            0.034424,           0.0017303,           0.0097525,           0.0097525,           0.0097525
                   7,            0.048074,            0.043699,           0.0018267,             0.82955,             0.71097,             0.78914,             0.36366,            0.043975,            0.033018,           0.0020031,            0.009703,            0.009703,            0.009703
                   8,            0.047768,            0.042951,           0.0018527,             0.86544,             0.70165,              0.7922,             0.35513,            0.046254,            0.032578,           0.0014705,           0.0096535,           0.0096535,           0.0096535
                   9,            0.047418,            0.042174,           0.0021426,             0.84878,             0.70618,             0.79002,             0.35277,            0.045414,            0.032899,           0.0013017,            0.009604,            0.009604,            0.009604
                  10,            0.046686,             0.04129,           0.0015981,              0.8593,             0.72073,             0.80663,             0.37539,            0.044645,            0.032522,           0.0020784,           0.0095545,           0.0095545,           0.0095545
                  11,            0.046454,            0.041213,           0.0014624,             0.86015,             0.72256,              0.8081,             0.38756,            0.042948,            0.031828,           0.0012238,            0.009505,            0.009505,            0.009505
                  12,            0.045912,            0.041962,           0.0014431,             0.87277,             0.71777,             0.80128,             0.36683,            0.046037,            0.032415,          0.00099189,           0.0094555,           0.0094555,           0.0094555
                  13,            0.045821,            0.041127,           0.0014169,             0.87246,             0.73819,             0.82174,             0.39075,             0.04325,            0.031969,          0.00087005,            0.009406,            0.009406,            0.009406
                  14,            0.045594,            0.040715,            0.001522,             0.86573,             0.75864,             0.82753,             0.37787,            0.043815,            0.031705,           0.0010143,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045252,            0.040264,             0.00116,             0.86713,              0.7242,             0.82247,             0.39193,            0.042926,            0.031732,          0.00083988,            0.009307,            0.009307,            0.009307
                  16,            0.045174,            0.040356,           0.0011364,             0.87106,             0.75211,             0.82457,             0.39554,            0.042887,            0.031225,          0.00093913,           0.0092575,           0.0092575,           0.0092575
                  17,            0.044804,            0.038727,           0.0011304,             0.86675,             0.73506,             0.81871,             0.38622,            0.043734,            0.031129,           0.0011191,            0.009208,            0.009208,            0.009208
                  18,            0.044349,            0.040364,           0.0013231,             0.81947,             0.72544,              0.7821,             0.36866,             0.04399,             0.03289,           0.0022684,           0.0091585,           0.0091585,           0.0091585
                  19,            0.044486,            0.040258,           0.0012252,             0.86385,             0.75839,             0.83143,             0.40218,            0.042473,            0.031361,          0.00072307,            0.009109,            0.009109,            0.009109
                  20,            0.043878,            0.039584,           0.0010796,             0.87325,             0.75617,             0.83552,              0.4087,            0.041885,            0.030793,          0.00092431,           0.0090595,           0.0090595,           0.0090595
                  21,            0.043619,            0.039564,          0.00099849,             0.85032,             0.75686,             0.82444,             0.39552,            0.042716,            0.033062,           0.0010605,             0.00901,             0.00901,             0.00901
                  22,            0.043929,            0.039342,          0.00098683,             0.86074,              0.7556,             0.82649,             0.39546,            0.042204,            0.031733,          0.00097272,           0.0089605,           0.0089605,           0.0089605
                  23,            0.043673,            0.039446,           0.0010167,             0.87662,             0.74663,             0.83697,             0.40787,            0.042097,            0.031406,          0.00081741,            0.008911,            0.008911,            0.008911
                  24,            0.043268,            0.039072,          0.00089427,             0.86914,             0.77524,             0.84852,             0.41864,            0.041091,            0.030499,          0.00095359,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043253,            0.039084,           0.0010707,             0.86853,             0.75753,             0.83246,             0.40064,            0.042009,            0.030897,          0.00061167,            0.008812,            0.008812,            0.008812
